"","i","j","cosSim"
"1628","Dim09Urb","Sch12Reg",0.486664263392288
"2056","Ama14Int","Kum14Jou",0.433012701892219
"1482","Soo07Urb","Nis08Jou",0.411475599898912
"1409","Soo05Reg","Nis08Jou",0.356348322549899
"550","Alp89Jou","Cam90Jou",0.338061701891407
"1529","Bos08Reg","Sch12Reg",0.337690816752985
"1406","Soo05Reg","Soo07Urb",0.329914439536929
"1330","And05Reg","Bos08Reg",0.327085568397529
"1594","Nis08Jou","Ber12Cit",0.324442842261525
"1244","Del04Con","And05Reg",0.321633760451338
"1518","Bos08Reg","Dim09Urb",0.320256307610174
"1285","Eec04The","And05Reg",0.318464877649241
"1360","And05Reg","Mod15Qua",0.316723032985958
"1327","And05Reg","Soo05Reg",0.315838082854618
"1296","Eec04The","Gon10Jou",0.308020551816849
"1344","And05Reg","Sch12Reg",0.301237616564389
"1971","Del13Eur","Cie16Mis",0.294174202707276
"1526","Bos08Reg","Arr12Reg",0.292352673102343
"1246","Del04Con","Soo05Reg",0.290957186981323
"1252","Del04Con","Dim09Urb",0.288675134594813
"1699","Gie10Jou","Kum14Jou",0.286769667338202
"1419","Soo05Reg","Ber12Cit",0.281810740095339
"381","Par85Jou","Gue95Urb",0.280565858874847
"1696","Gie10Jou","Ven13Oec",0.278207442037329
"773","Kru96Jou","Knu01Ame",0.278019218742766
"1295","Eec04The","Gie10Jou",0.275411316377622
"1512","Soo07Urb","Cie16Mis",0.272772362794991
"263","Sua80Jou","Kru96Jou",0.272165526975909
"572","Alp89Jou","Nis08Jou",0.267261241912424
"1791","Pen10Phy","Cie16Mis",0.267261241912424
"316","Par83Jou","Par85Jou",0.263767480669999
"769","Kru96Jou","Bra99Jou",0.263523138347365
"1332","And05Reg","Nis08Jou",0.262612865719445
"1775","Pen10Phy","Del13Eur",0.26207120918048
"928","Gab99Qua","Eec04The",0.261364105121419
"1780","Pen10Phy","Ven13Oec",0.259281489420866
"1889","Ber12Cit","Cie16Mis",0.258092700604382
"1520","Bos08Reg","Gie10Jou",0.257151425429726
"1320","Eec04The","Mod15Qua",0.255945348444496
"770","Kru96Jou","Gab99Qua",0.254000254000381
"1415","Soo05Reg","Pen10Phy",0.252538136138053
"1590","Nis08Jou","Pen10Phy",0.251976315339485
"1410","Soo05Reg","Dim09Urb",0.251976315339485
"1331","And05Reg","LeG08Emp",0.250391542918067
"1485","Soo07Urb","Gie10Jou",0.250313087160879
"1263","Del04Con","Sch12Reg",0.249756216421785
"1300","Eec04The","Roz11Ame",0.247707542011075
"1333","And05Reg","Dim09Urb",0.247593784236069
"1290","Eec04The","Bos08Reg",0.24715576637149
"1519","Bos08Reg","XuZ09Urb",0.24715576637149
"1249","Del04Con","Bos08Reg",0.246533420544546
"1887","Ber12Cit","Mod15Qua",0.244557994022259
"196","Ros80Jou","Mir86Urb",0.242535625036333
"1168","Bla03Jou","XuZ09Urb",0.242535625036333
"2141","Cie16Mis","Man16Reg",0.242535625036333
"1407","Soo05Reg","Bos08Reg",0.242091013067521
"923","Gab99Qua","Knu01Ame",0.238332213599569
"1614","Nis08Jou","Cie16Mis",0.235702260395516
"1661","XuZ09Urb","Del13Eur",0.235435477898709
"1336","And05Reg","Gon10Jou",0.233463071087775
"1488","Soo07Urb","Pen10Phy",0.233284737407922
"1510","Soo07Urb","Mod15Qua",0.232621052599618
"1598","Nis08Jou","Del13Eur",0.231125081760512
"874","Bra99Jou","Knu01Ame",0.230783165688525
"1885","Ber12Cit","Faz15Jou",0.230369649560433
"1596","Nis08Jou","Sch12Reg",0.229415733870562
"1619","Dim09Urb","Gie10Jou",0.229415733870562
"1616","Nis08Jou","Man16Reg",0.228664780190012
"1293","Eec04The","Dim09Urb",0.228664780190012
"1287","Eec04The","Soo05Reg",0.226871303243258
"1251","Del04Con","Nis08Jou",0.226804605813257
"1517","Bos08Reg","Nis08Jou",0.226455406828919
"1492","Soo07Urb","Ber12Cit",0.225281778444791
"1364","And05Reg","Man16Reg",0.225188674555523
"1689","Gie10Jou","Sch12Reg",0.223296878269436
"1831","Roz11Ame","Ven13Oec",0.222925414354469
"1659","XuZ09Urb","Sch12Reg",0.222565953629863
"1709","Gie10Jou","Man16Reg",0.222565953629863
"1560","LeG08Emp","Arr12Reg",0.221564683762799
"2047","Ven13Oec","Faz15Jou",0.221403721385024
"67","Oka79Reg","Ros80Jou",0.218217890235992
"201","Ros80Jou","Gue95Urb",0.218217890235992
"1245","Del04Con","Cra05Con",0.218217890235992
"1412","Soo05Reg","Gie10Jou",0.21677749238103
"1587","Nis08Jou","Gie10Jou",0.21629522817435
"1516","Bos08Reg","LeG08Emp",0.215916758543765
"1496","Soo07Urb","Del13Eur",0.213980246255456
"1523","Bos08Reg","Pen10Phy",0.213980246255456
"814","Kru96Jou","Mod15Qua",0.21320071635561
"1644","Dim09Urb","Mod15Qua",0.21320071635561
"439","Mir86Urb","Gue95Urb",0.211702449609985
"1501","Soo07Urb","Ven13Oec",0.211702449609985
"1514","Soo07Urb","Man16Reg",0.211702449609985
"627","Cam90Jou","Nis08Jou",0.210818510677892
"1326","And05Reg","Cra05Con",0.210558721903079
"1687","Gie10Jou","Ber12Cit",0.210526315789474
"1248","Del04Con","Soo07Urb",0.209980262782904
"1480","Soo07Urb","Bos08Reg",0.209656967344384
"1018","Bat01Urb","Knu01Ame",0.208514414057075
"1553","LeG08Emp","XuZ09Urb",0.208123780528296
"1324","Eec04The","Man16Reg",0.207972582701926
"1930","Sch12Reg","Mod15Qua",0.207514339159822
"1681","Gie10Jou","Gon10Jou",0.206021410857582
"1716","Gon10Jou","Ber12Cit",0.206021410857582
"1294","Eec04The","XuZ09Urb",0.205882352941176
"1545","Bos08Reg","Mod15Qua",0.204836622599676
"1604","Nis08Jou","Ama14Int",0.204124145231932
"1157","Bla03Jou","Del04Con",0.204124145231931
"1329","And05Reg","Soo07Urb",0.202610224618277
"1573","LeG08Emp","Kum14Jou",0.202259958738973
"1292","Eec04The","Nis08Jou",0.202113020863611
"1586","Nis08Jou","XuZ09Urb",0.202113020863611
"1527","Bos08Reg","Ber12Cit",0.202047548551927
"1437","Soo05Reg","Mod15Qua",0.201455741006345
"1612","Nis08Jou","Mod15Qua",0.201007563051842
"1262","Del04Con","Gul12Age",0.201007563051842
"106","Oka79Reg","Ber12Cit",0.200250469728704
"1539","Bos08Reg","Kum14Jou",0.200160192256359
"1618","Dim09Urb","XuZ09Urb",0.20008168266626
"772","Kru96Jou","Bat01Urb",0.2
"1768","Pen10Phy","Gab11Jou",0.199204768222399
"1697","Gie10Jou","Ama14Int",0.198679853559757
"1779","Pen10Phy","Mor13Tow",0.198516666794186
"1312","Eec04The","Ama14Int",0.198029508595335
"2035","Mor13Tow","Mod15Qua",0.197951895616224
"1563","LeG08Emp","Sch12Reg",0.196865387666913
"1732","Gon10Jou","Faz15Jou",0.196747750735186
"1650","XuZ09Urb","Gie10Jou",0.196722368841158
"1585","Nis08Jou","Dim09Urb",0.196418550329597
"1963","Del13Eur","Kum14Jou",0.196116135138184
"1705","Gie10Jou","Mod15Qua",0.195646395217807
"2119","Faz15Jou","Mod15Qua",0.194624736040381
"1793","Pen10Phy","Man16Reg",0.194461117065649
"1411","Soo05Reg","XuZ09Urb",0.194461117065649
"1549","Bos08Reg","Man16Reg",0.194183909345154
"1343","And05Reg","Gul12Age",0.193952455150571
"556","Alp89Jou","Gab99Qua",0.192006144294928
"1342","And05Reg","Ber12Cit",0.191706445279037
"1824","Roz11Ame","Sch12Reg",0.191706445279037
"1742","Hol10Nat","Roz11Ame",0.191654987367688
"1734","Gon10Jou","Mod15Qua",0.191459895266871
"1334","And05Reg","XuZ09Urb",0.191078926589545
"1551","LeG08Emp","Nis08Jou",0.190692517849118
"76","Oka79Reg","Gue95Urb",0.19047619047619
