"","i","j","cosSimTerm"
"968","Del04Con.txt","XuZ09Urb.txt",0.872754667278267
"1173","Ezz15Rev.txt","Li_16Wor.txt",0.835648663087842
"1478","Gon10Jou.txt","XuZ09Urb.txt",0.835597494135477
"191","And05Reg.txt","XuZ09Urb.txt",0.83543446891136
"1063","Dim09Urb.txt","XuZ09Urb.txt",0.834609433190008
"932","Del04Con.txt","Gon10Jou.txt",0.823784338957614
"145","And05Reg.txt","Dim09Urb.txt",0.821969869909121
"1623","Iye13Eur.txt","Li_16Wor.txt",0.815021258004727
"548","Bla03Jou.txt","XuZ09Urb.txt",0.812370742067562
"155","And05Reg.txt","Gon10Jou.txt",0.806219926255327
"143","And05Reg.txt","Del04Con.txt",0.806106490374278
"1167","Ezz15Rev.txt","Iye13Eur.txt",0.805614147059365
"1440","Gie10Jou.txt","Ven13Oec.txt",0.805165261175645
"1814","Li_16Wor.txt","Son02Urb.txt",0.802326023236687
"1819","Li_16Wor.txt","XuZ09Urb.txt",0.791830634150627
"2116","Sch12Reg.txt","XuZ09Urb.txt",0.791007139065515
"1193","Ezz15Rev.txt","Son02Urb.txt",0.790005812579861
"922","Del04Con.txt","Dim09Urb.txt",0.78125217939849
"135","And05Reg.txt","Bla03Jou.txt",0.778514268939105
"933","Del04Con.txt","Gue95Urb.txt",0.778353038950554
"597","Bos08Reg.txt","Sch12Reg.txt",0.778270593717878
"1198","Ezz15Rev.txt","XuZ09Urb.txt",0.776352067273358
"1056","Dim09Urb.txt","Sch12Reg.txt",0.773482240836266
"512","Bla03Jou.txt","Gon10Jou.txt",0.768426003952514
"1648","Iye13Eur.txt","XuZ09Urb.txt",0.768253812103741
"101","Ama14Int.txt","Kum14Jou.txt",0.765652091785784
"1816","Li_16Wor.txt","Soo07Urb.txt",0.765288567213261
"1195","Ezz15Rev.txt","Soo07Urb.txt",0.765263861339676
"1171","Ezz15Rev.txt","Kum14Jou.txt",0.763996023959049
"1073","Eec04The.txt","Gon10Jou.txt",0.763434495054088
"2126","Son02Urb.txt","Soo07Urb.txt",0.763020819762089
"500","Bla03Jou.txt","Del04Con.txt",0.762991713890316
"184","And05Reg.txt","Sch12Reg.txt",0.761969707286864
"601","Bos08Reg.txt","Soo07Urb.txt",0.761545760827313
"1082","Eec04The.txt","Kum14Jou.txt",0.76125505077058
"1643","Iye13Eur.txt","Son02Urb.txt",0.76096621700294
"1812","Li_16Wor.txt","Sch12Reg.txt",0.760820810861457
"502","Bla03Jou.txt","Dim09Urb.txt",0.760350253095475
"1027","Dim09Urb.txt","Gon10Jou.txt",0.760303768657747
"1741","Kum14Jou.txt","Li_16Wor.txt",0.759907778700677
"1189","Ezz15Rev.txt","Ros80Jou.txt",0.757777423213649
"961","Del04Con.txt","Sch12Reg.txt",0.755762654133129
"1491","Gue95Urb.txt","Mal80Env.txt",0.75546825613449
"1810","Li_16Wor.txt","Ros80Jou.txt",0.754976062028514
"1078","Eec04The.txt","Iye13Eur.txt",0.75465326386018
"1487","Gue95Urb.txt","Kum14Jou.txt",0.75430584391425
"1084","Eec04The.txt","Li_16Wor.txt",0.753286261356683
"1514","Gue95Urb.txt","XuZ09Urb.txt",0.752585909479826
"137","And05Reg.txt","Bra99Jou.txt",0.752357035582258
"659","Bra99Jou.txt","XuZ09Urb.txt",0.75203523218659
"1507","Gue95Urb.txt","Sch12Reg.txt",0.751788528742037
"1013","Del13Eur.txt","Soo07Urb.txt",0.751757166207489
"1521","Gul12Age.txt","Kru96Jou.txt",0.751102418637382
"1304","Gab99Qua.txt","Mod15Qua.txt",0.750313129138458
"1763","Kum14Jou.txt","Soo07Urb.txt",0.749660813274939
"1066","Eec04The.txt","Ezz15Rev.txt",0.748979502797315
"1471","Gon10Jou.txt","Sch12Reg.txt",0.74777567822837
"1621","Iye13Eur.txt","Kum14Jou.txt",0.746130463728229
"1743","Kum14Jou.txt","Mal80Env.txt",0.74576922469058
"1106","Eec04The.txt","Soo07Urb.txt",0.74342209591513
"2094","Ros80Jou.txt","Son02Urb.txt",0.743087117763219
"1296","Gab99Qua.txt","Kru96Jou.txt",0.741615571048126
"1191","Ezz15Rev.txt","Sch12Reg.txt",0.740439933881149
"236","Ara14Eco.txt","Nau03Jou.txt",0.740419532292681
"2115","Sch12Reg.txt","Ven13Oec.txt",0.739897460118145
"2113","Sch12Reg.txt","Soo07Urb.txt",0.73887701557462
"611","Bra99Jou.txt","Del04Con.txt",0.738755870189935
"1163","Ezz15Rev.txt","Gue95Urb.txt",0.738714269072474
"1154","Ett87Env.txt","XuZ09Urb.txt",0.737849758161817
"494","Bla03Jou.txt","Bra99Jou.txt",0.737237936228165
"1102","Eec04The.txt","Sch12Reg.txt",0.734503929074238
"1317","Gab99Qua.txt","Sch12Reg.txt",0.733091886932909
"945","Del04Con.txt","Mal80Env.txt",0.731416501097443
"1109","Eec04The.txt","XuZ09Urb.txt",0.731132737247867
"452","Ber12Cit.txt","Gan06Eco.txt",0.729686332130193
"1868","Mal80Env.txt","XuZ09Urb.txt",0.728939771650154
"1074","Eec04The.txt","Gue95Urb.txt",0.727796464246972
"625","Bra99Jou.txt","Gul12Age.txt",0.726133456161014
"623","Bra99Jou.txt","Gon10Jou.txt",0.726040960438455
"925","Del04Con.txt","Ezz15Rev.txt",0.725642614943874
"1549","Gul12Age.txt","XuZ09Urb.txt",0.7248673097781
"490","Ber12Cit.txt","Ven13Oec.txt",0.724277800864738
"1434","Gie10Jou.txt","Sch12Reg.txt",0.723661327574615
"924","Del04Con.txt","Ett87Env.txt",0.720593743155822
"1766","Kum14Jou.txt","XuZ09Urb.txt",0.719715530223843
"208","Ara14Eco.txt","Eec04The.txt",0.71880178689976
"934","Del04Con.txt","Gul12Age.txt",0.718758135709011
"579","Bos08Reg.txt","Li_16Wor.txt",0.718285195796345
"93","Ama14Int.txt","Gue95Urb.txt",0.718145014994756
"1483","Gue95Urb.txt","Iye13Eur.txt",0.717490547306481
"151","And05Reg.txt","Gab99Qua.txt",0.717161348668552
"2129","Son02Urb.txt","XuZ09Urb.txt",0.717085662342876
"1288","Gab99Qua.txt","Gon10Jou.txt",0.717037184265867
