"","i","j","cosSimCt"
"5","Alp89Jou","Ber12Cit",1
"6","Alp89Jou","Bla03Jou",1
"10","Alp89Jou","Bre15Int",1
"11","Alp89Jou","Cam90Jou",1
"21","Alp89Jou","Gab11Jou",1
"22","Alp89Jou","Gab99Qua",1
"35","Alp89Jou","Kru96Jou",1
"46","Alp89Jou","Nau03Jou",1
"65","Ama14Int","And05Reg",1
"66","Ama14Int","Ara14Eco",1
"67","Ama14Int","Bat01Urb",1
"70","Ama14Int","Bos08Reg",1
"71","Ama14Int","Bra99Jou",1
"75","Ama14Int","Cie16Mis",1
"77","Ama14Int","Del04Con",1
"78","Ama14Int","Del13Eur",1
"81","Ama14Int","Ett87Env",1
"83","Ama14Int","Faz15Jou",1
"88","Ama14Int","Gie10Jou",1
"89","Ama14Int","Gon10Jou",1
"94","Ama14Int","Iye13Eur",1
"96","Ama14Int","Knu01Ame",1
"99","Ama14Int","Kum14Jou",1
"100","Ama14Int","LeG08Emp",1
"101","Ama14Int","Li_16Wor",1
"103","Ama14Int","Mal80Env",1
"104","Ama14Int","Man16Reg",1
"105","Ama14Int","Mir86Urb",1
"106","Ama14Int","Mod15Qua",1
"107","Ama14Int","Mor13Tex",1
"108","Ama14Int","Mor13Tow",1
"112","Ama14Int","Par83Jou",1
"113","Ama14Int","Par85Jou",1
"114","Ama14Int","Pen10Phy",1
"115","Ama14Int","Pop74Sov",1
"119","Ama14Int","Sch12Reg",1
"120","Ama14Int","She12Com",1
"121","Ama14Int","Son02Urb",1
"127","Ama14Int","Ziq16Asi",1
"128","And05Reg","Ara14Eco",1
"129","And05Reg","Bat01Urb",1
"132","And05Reg","Bos08Reg",1
"133","And05Reg","Bra99Jou",1
"137","And05Reg","Cie16Mis",1
"139","And05Reg","Del04Con",1
"140","And05Reg","Del13Eur",1
"143","And05Reg","Ett87Env",1
"145","And05Reg","Faz15Jou",1
"150","And05Reg","Gie10Jou",1
"151","And05Reg","Gon10Jou",1
"156","And05Reg","Iye13Eur",1
"158","And05Reg","Knu01Ame",1
"161","And05Reg","Kum14Jou",1
"162","And05Reg","LeG08Emp",1
"163","And05Reg","Li_16Wor",1
"165","And05Reg","Mal80Env",1
"166","And05Reg","Man16Reg",1
