"","i","j","cosSimEs"
"1","Alp89Jou","Ama14Int",1
"3","Alp89Jou","Ara14Eco",1
"4","Alp89Jou","Bat01Urb",1
"5","Alp89Jou","Ber12Cit",1
"6","Alp89Jou","Bla03Jou",1
"7","Alp89Jou","Bos08Reg",1
"8","Alp89Jou","Bra99Jou",1
"9","Alp89Jou","Bre00Cyb",1
"10","Alp89Jou","Bre15Int",1
"11","Alp89Jou","Cam90Jou",1
"13","Alp89Jou","Cra05Con",1
"14","Alp89Jou","Del04Con",1
"17","Alp89Jou","Eec04The",1
"18","Alp89Jou","Ett87Env",1
"22","Alp89Jou","Gab99Qua",1
"23","Alp89Jou","Gan06Eco",1
"25","Alp89Jou","Gie10Jou",1
"26","Alp89Jou","Gon10Jou",1
"27","Alp89Jou","Gue95Urb",1
"28","Alp89Jou","Gul12Age",1
"30","Alp89Jou","Ign15Dis",1
"31","Alp89Jou","Iye13Eur",1
"32","Alp89Jou","Kam90Jou",1
"33","Alp89Jou","Knu01Ame",1
"34","Alp89Jou","Kra98Urb",1
"35","Alp89Jou","Kru96Jou",1
"36","Alp89Jou","Kum14Jou",1
"38","Alp89Jou","Li_16Wor",1
"40","Alp89Jou","Mal80Env",1
"41","Alp89Jou","Man16Reg",1
"42","Alp89Jou","Mir86Urb",1
"45","Alp89Jou","Mor13Tow",1
"46","Alp89Jou","Nau03Jou",1
"47","Alp89Jou","Nis08Jou",1
"48","Alp89Jou","Oka79Reg",1
"49","Alp89Jou","Par83Jou",1
"50","Alp89Jou","Par85Jou",1
"52","Alp89Jou","Pop74Sov",1
"53","Alp89Jou","Pum15Cyb",1
"54","Alp89Jou","Ros80Jou",1
"55","Alp89Jou","Roz11Ame",1
"57","Alp89Jou","She12Com",1
"58","Alp89Jou","Son02Urb",1
"61","Alp89Jou","Sua80Jou",1
"63","Alp89Jou","XuZ09Urb",1
"64","Alp89Jou","Ziq16Asi",1
"66","Ama14Int","Ara14Eco",1
"67","Ama14Int","Bat01Urb",1
"68","Ama14Int","Ber12Cit",1
"69","Ama14Int","Bla03Jou",1
"70","Ama14Int","Bos08Reg",1
"71","Ama14Int","Bra99Jou",1
"72","Ama14Int","Bre00Cyb",1
"73","Ama14Int","Bre15Int",1
"74","Ama14Int","Cam90Jou",1
"76","Ama14Int","Cra05Con",1
"77","Ama14Int","Del04Con",1
"80","Ama14Int","Eec04The",1
"81","Ama14Int","Ett87Env",1
"85","Ama14Int","Gab99Qua",1
