"","Alp89Jou.txt","Ama14Int.txt","And05Reg.txt","Ara14Eco.txt","Arr12Reg.txt","Bat01Urb.txt","Ben07Com.txt","Ber12Cit.txt","Bla03Jou.txt","Bos08Reg.txt","Bra99Jou.txt","Bre00Cyb.txt","Bre15Int.txt","Cam90Jou.txt","Cie16Mis.txt","Cra05Con.txt","Del04Con.txt","Del13Eur.txt","Dim09Urb.txt","Eec04The.txt","Ett87Env.txt","Ezz15Rev.txt","Faz15Jou.txt","Gab11Jou.txt","Gab99Qua.txt","Gan06Eco.txt","Gan13Eco.txt","Gie10Jou.txt","Gon10Jou.txt","Gue95Urb.txt","Gul12Age.txt","Hol10Nat.txt","Ign15Dis.txt","Iye13Eur.txt","Kam90Jou.txt","Knu01Ame.txt","Kru96Jou.txt","Kum14Jou.txt","LeG08Emp.txt","Li_16Wor.txt","Luc14Eco.txt","Mal80Env.txt","Man16Reg.txt","Mir86Urb.txt","Mod15Qua.txt","Mor13Tex.txt","Mor13Tow.txt","Nau03Jou.txt","Nis08Jou.txt","Oka79Reg.txt","Par83Jou.txt","Par85Jou.txt","Pen10Phy.txt","Pop74Sov.txt","Pum15Cyb.txt","Ros80Jou.txt","Roz11Ame.txt","Sch12Reg.txt","She12Com.txt","Son02Urb.txt","Soo05Reg.txt","Soo07Urb.txt","Sua80Jou.txt","Ven13Oec.txt","XuZ09Urb.txt","Ziq16Asi.txt"
"accept",3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"acceptance",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"accepted",1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
"accepting",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"according",1,4,0,10,1,2,0,2,5,4,1,9,11,0,5,0,1,5,4,2,1,9,6,1,1,2,2,3,3,1,3,2,1,8,3,22,0,2,2,10,0,0,3,0,12,2,6,5,0,8,1,2,0,0,8,0,1,3,6,6,1,0,1,1,6,3
"accordingly",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0
"accuracy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"accurate",4,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,3,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,2,0
"achieve",1,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"additional",1,0,1,0,1,0,0,0,0,2,2,0,0,1,3,0,0,0,1,2,0,0,0,1,0,0,1,2,0,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,4,1,0,0,0,2,0,0,1,0,7,3,0,0,1,0
"allow",1,0,0,0,1,0,0,0,1,6,0,1,1,3,0,1,2,0,1,3,0,0,2,0,3,0,0,0,0,0,2,1,2,0,0,1,0,1,2,0,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,1,0
"almost",1,1,3,1,1,2,0,0,2,4,3,1,0,0,2,1,1,0,4,0,0,1,1,0,1,1,0,5,5,5,1,0,10,2,3,7,0,0,2,4,0,0,0,0,1,2,1,2,0,1,0,0,5,0,3,2,0,2,2,0,3,2,0,2,0,0
"alperovich",7,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"alpha",8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alphathe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"also",2,8,13,13,13,20,6,4,12,27,19,14,10,8,8,6,8,23,13,13,5,3,5,10,5,2,9,22,21,4,13,14,20,6,2,15,11,10,17,14,14,10,1,4,4,18,14,16,14,6,24,5,6,0,8,10,11,14,13,21,24,18,3,9,14,6
"alter",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambitious",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"american",1,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,1,1,0,1,0,0,2,1,0,1,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"among",3,0,0,3,5,0,1,1,1,1,0,6,2,3,1,0,1,0,4,0,12,3,5,3,0,0,1,3,2,0,3,1,6,26,1,0,1,3,3,0,1,5,1,0,2,4,10,2,0,0,12,6,0,1,7,2,3,2,3,3,0,0,1,3,8,0
"ample",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"analogous",3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"analyses",1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,1,1,1,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,5,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,5,0
"analysis",10,5,4,0,25,5,23,6,4,10,3,2,1,2,5,0,4,5,1,5,15,0,13,5,2,1,2,12,6,3,7,20,20,20,0,4,11,5,8,1,0,8,12,4,15,10,20,4,2,1,8,10,2,3,1,2,9,0,6,0,5,3,1,13,3,9
"analyzing",1,1,0,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"another",1,1,1,2,2,7,1,1,0,0,3,5,4,2,1,0,7,1,0,3,2,1,1,1,3,1,4,1,1,2,5,5,7,1,0,4,0,5,7,4,0,1,0,3,1,1,1,1,0,0,1,1,1,0,3,0,2,1,5,2,0,1,2,4,5,0
"appeared",1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
