"","mean age","n articles"
"Agent-based models of geographical systems",2012,1
"American Economic Review ",2011,1
"American Journal of Economics and Sociology",2001,1
"Asian Journal of Social Science Studies ",2016,1
"Cities",2012,1
"Comparative Economic Studies",2012,1
"Congress of the European Regional Science Association",2004,2
"Cybergeo",2010,3
"EconomiA",2014,1
"Economics Letters",2010,2
"Econophysics of Systemic Risk and Network Dynamics",2013,1
"Empirical Economics",2008,1
"Environment and Planning A",1984,2
"Eurasian Geography and Economics",2013,1
"European Planning Studies",2013,1
"International Journal of Geographical Information Science",2015,1
"International Journal of Pure and Applied Mathematics ",2014,1
"Journal of African Economies",2003,1
"Journal of Business & Economic Statistics",2011,1
"Journal of Economic Geography",2006,2
"Journal of Mathematics and Statistics ",2014,1
"Journal of Regional Science",1999,6
"Journal of the Japanese and International Economies",1996,1
"Journal of Urban Economics",1987,5
"Miscellanea Geographica",2016,1
"National Bureau of Economic Research",2010,1
"Oecd Publishing",2013,1
"Physica A: Statistical Mechanics and its Applications",2010,1
"Quaderni - Working Paper DSE ",2015,1
"Quarterly Journal of Economics",1999,1
"Region et Developpement ",2012,1
"Regional Science and Urban Economics",1999,4
"Regional Science Inquiry",2016,1
"Regional Studies",2012,1
"Review of Urban & Regional Development Studies",2015,1
"Soviet Geography",1974,1
"Textos para Discussion Cedeplar-UFMG",2013,1
"The American Economic Review",2004,1
"Town and Regional Planning",2013,1
"Urban Studies",2001,8
"Working Paper in Economics 09/16 ",2016,1
