"","AROKATO","name","IDREG","country","lat","long","Pop2010","Nagglo","West.East","Capital","Nat.Capita","Hydrocarbo","Coal","RAIL.10","AIRPORT","MONOGOROD","Pop1840","Pop1856","Pop1897","Pop1926","Pop1939","Pop1959","Pop1970","Pop1979","Pop1989","Pop2002","Pop2010_1"
"1","AR45","Moscow","RUS14","Russia",55.75,37.61666667,14425.208,34,"W",1,1,0,0,1,1,0,353.882,380.5,1072.171,2241.631,4875.457,7186.148,9061.219,10480.741,11625.098,13028.998,14425.208
"2","AR40","Saint-Petersburg","RUS57","Russia",59.95,30.31666667,4848.742,1,"W",1,0,0,0,1,1,0,545.979,554.266,1368.812,1731.24,3192.284,3266.874,3983.679,4568.107,5005.419,4661.219,4848.742
"3","AUA26101","Kiiv","UKR11","Ukraine",50.43,30.52,2862.217,4,"W",1,1,0,0,1,1,NA,44.683,62.497,247.723,493.873,846.724,1115.549,1661.009,2188.695,2663.763,2688.169,2862.217
"4","AUZ12112","Tashkent","OUZ00","Uzbekistan",41.32,69.25,2601.36,10,"E",1,1,0,0,1,1,NA,NA,NA,155.673,323.544,512.086,1037.834,1578.798,2014.625,2437.877,2526.372,2601.36
"5","AAZ01101","Baku","AZE00","Azerbaijan",40.4,49.88,1937.3,25,"W",1,1,1,0,1,1,NA,NA,NA,111.904,446.832,631.9,871.871,1144.085,1422.512,1596.55,1757.815,1937.3
"6","ABE01101","Minsk","BEL00","Belarus",53.9,27.57,1850.399,1,"W",1,1,0,0,1,1,NA,22.489,25.525,90.912,123.613,237.495,515.975,916.949,1275.798,1612.472,1716.78,1850.399
"7","AR22401","Nizhni-Novgorod","RUS42","Russia",56.31666667,44,1723.12,6,"W",1,0,0,0,1,1,0,29.953,39.441,109.273,263.474,834.342,1256.441,1594.859,1825.479,1954.795,1795.488,1723.12
"8","AR50401","Novosibirsk","RUS44","Russia",55.03333333,82.91666667,1687.247,6,"E",1,0,0,1,1,1,0,NA,NA,NA,117.9,429,972.987,1299.4,1491.498,1661.119,1627.866,1687.247
"9","AUA20116","Kharkiv","UKR22","Ukraine",50,36.25,1546.603,7,"W",1,0,0,1,1,1,NA,23.612,30.6,173.989,422.759,886.939,1034.281,1318.07,1543.164,1710.411,1564.327,1546.603
"10","AR65401","Ekaterinburg","RUS63","Russia",56.83333333,60.58333333,1496.136,5,"E",1,0,1,0,1,1,0,15.779,16.939,43.239,136.5,431.8,864.1,1130.9,1327.1,1498,1432.928,1496.136
"11","AUA05117","Donetsk","UKR06","Ukraine",48,37.8,1491.507,7,"W",1,0,0,1,1,1,NA,NA,NA,NA,170.265,789.737,1234.109,1461.824,1621.354,1722.085,1568.821,1491.507
"12","AKA011","Almaty","KAZ005","Kazakhstan",43.25,76.95,1413.182,3,"E",1,0,0,0,1,1,NA,NA,NA,22.744,45.4,222,464.322,746.301,934.389,1165.561,1195.638,1413.182
"13","AR18401","Volgograd","RUS76","Russia",48.7,44.48333333,1396.94,6,"W",1,0,0,0,1,1,0,NA,NA,55.186,148.4,445,688.569,1000.8,1186.911,1323.553,1397.346,1396.94
"14","AUA04106","Dniepropetrovsk","UKR05","Ukraine",48.45,34.98,1356.913,5,"W",1,0,0,1,1,1,NA,21.796,22.619,125.722,237.047,747.761,954.915,1222.508,1422.972,1577.99,1430.723,1356.913
"15","AR75401","Chelyabinsk","RUS66","Russia",55.15,61.4,1330.245,5,"E",1,0,1,0,1,1,0,NA,NA,19.998,68.2,329.3,951.859,1126.889,1264.863,1377.316,1303.838,1330.245
"16","AR36401","Samara","RUS59","Russia",53.18333333,50.11666667,1328.211,5,"W",1,0,1,0,1,1,0,10.11,24.405,89.999,171.8,407.5,901.6,1187.9,1367.3,1408.157,1323.936,1328.211
"17","AR92401","Kazan","RUS65","Russia",55.78333333,49.11666667,1313.825,4,"W",1,0,0,1,1,1,0,45.343,56.257,129.959,174.7,447.7,775.603,1006.832,1148.838,1268.176,1281.241,1313.825
"18","AGE01101","Tbilisi","GEO00","Georgia",41.73,44.79,1251.5,3,"W",1,1,0,0,1,1,NA,29.744,38.375,159.59,284.408,522.297,772.542,1006.552,1201.966,1427.941,1197.447,1251.5
"19","AR60401","Rostov-on-Don","RUS55","Russia",47.23333333,39.71666667,1243.691,3,"W",1,0,0,0,1,1,0,19.673,26.546,155.503,408.079,562.3,680.2,896.1,1054.2,1144.6,1213.717,1243.691
"20","AAR01101","Erevan","ARM00","Armenia",40.18,44.51,1243,4,"W",1,1,0,0,1,1,NA,NA,13.179,34.273,70.215,213.997,529.039,818.784,1114.336,1342.907,1225.815,1243
"21","AR52401","Omsk","RUS45","Russia",54.96666667,73.38333333,1153.971,1,"E",1,0,0,1,1,1,0,11.116,16.416,37.376,111.2,288.9,581.1,832.563,1031.768,1170.398,1156.849,1153.971
"22","AUA15114","Odesa","UKR17","Ukraine",46.47,30.73,1082.099,3,"W",1,0,0,0,1,1,NA,55,101.32,403.815,411.416,602.251,675.418,928.928,1097.449,1180.221,1091.342,1082.099
"23","AR63401","Saratov","RUS60","Russia",51.53333333,46,1074.596,3,"W",1,0,1,0,1,1,0,42.371,61.61,157.147,246,445.217,689.968,910.441,1044.421,1114.71,1099.126,1074.596
"24","AR80401","Ufa","RUS07","Russia",54.73333333,55.96666667,1062.3,1,"E",1,0,1,0,1,1,0,12.872,12.894,49.275,97.7,250,546.9,770.9,969.3,1082.1,1042.437,1062.3
"25","AR04401","Krasnoyarsk","RUS34","Russia",56,92.93333333,1047.312,4,"E",1,0,0,0,1,0,0,NA,NA,26.699,69.3,186.1,423.497,680.637,845.519,987.708,981.983,1047.312
