"","ROKATO","name","region","country","lat","long","alt","AROKATO","Pop1840","Pop1856","Pop1897","Pop1926","Pop1939","Pop1959","Pop1970","Pop1979","Pop1989","Pop2002","Pop2010"
"1","AR01101","Erevan","Erevan","Armenia",40.18,44.51,3389,"AAR01101",8.62,13.18,29.01,62.18,204.21,509.34,766.71,1019.21,1201.54,1103.34,1116.6
"2","AR02101","Ashtarak","Aragatsotn","Armenia",40.3,44.36,3740,"AAR02101",NA,NA,NA,4.85,5.78,7.56,12.13,16.36,23.62,20.65,20.8
"3","AR02102","Aparan","Aragatsotn","Armenia",40.6,44.35,6230,"AAR02102",NA,NA,NA,NA,NA,2.66,4.65,5.99,7.38,6.61,6.6
"4","AR03101","Ararat","Ararat","Armenia",39.81,44.71,2604,"AAR03101",NA,NA,NA,NA,2.33,5.41,8.52,15.16,20.11,20.51,20.8
"5","AR03102","Artashat","Ararat","Armenia",39.95,44.55,2726,"AAR03102",NA,NA,NA,2.46,4.15,7.28,13.92,16.75,32.32,25.1,25.4
"6","AR03103","Masis","Ararat","Armenia",40.01,44.49,2805,"AAR01101",NA,NA,NA,NA,NA,NA,1.55,12.7,22.16,21.43,22.4
"7","AR03104","Vedi","Ararat","Armenia",39.91,44.73,3061,"AAR03104",NA,NA,NA,NA,NA,3.58,6.17,7.79,10.76,13,13.6
"8","AR04101","Armavir","Armavir","Armenia",40.09,44.05,2837,"AAR04101",NA,NA,NA,0.48,3.44,14.93,25.88,31.43,46.86,32.08,33.8
"9","AR04102","Metsamor","Armavir","Armenia",40.14,44.12,2788,"AAR04102",NA,NA,NA,NA,NA,NA,NA,7.88,11.96,9.93,10.4
"10","AR04103","Vagharshapat","Armavir","Armenia",40.17,44.29,2883,"AAR01101",NA,NA,5.27,8.04,9.78,19.7,31.82,44.04,60.54,56.42,57.5
"11","AR05103","Martouni","Gegharkunik","Armenia",40.14,45.31,6302,"AAR05103",NA,NA,NA,1.51,2.52,5.56,7.53,9.5,13.57,11.79,12.1
"12","AR05104","Sevan","Gegharkunik","Armenia",40.55,44.95,6249,"AAR05104",NA,NA,NA,NA,2.67,6.42,12.39,20.49,26.95,21.44,21.7
"13","AR05105","Vardenis","Gegharkunik","Armenia",40.18,45.73,6377,"AAR05105",NA,NA,NA,NA,NA,6.32,8.29,11.34,13.91,12.74,12.7
"14","AR06101","Alaverdi","Lorri","Armenia",41.13,44.65,4251,"AAR06101",NA,NA,NA,1.62,10.01,16.71,21.31,22.47,26.27,16.58,15.8
"15","AR06105","Spitak","Lorri","Armenia",40.84,44.27,4967,"AAR06105",NA,NA,NA,NA,NA,8.67,11.91,14.59,13.74,14.99,15.2
"16","AR06106","Stepanavan","Lorri","Armenia",41.01,44.39,4629,"AAR06106",NA,NA,NA,4.94,6.06,9.8,13.45,16.49,9.47,16.25,15.8
"17","AR06107","Vanadzor","Lorri","Armenia",40.81,44.49,4393,"AAR06107",NA,NA,NA,8.3,17.61,49.42,106.62,146.04,75.62,106.97,104.8
"18","AR07101","Abovyan","Kotayk","Armenia",40.27,44.62,4691,"AAR01101",NA,NA,NA,NA,NA,NA,18.71,38.39,58.67,44.63,46.5
"19","AR07103","Eghvard","Kotayk","Armenia",40.32,44.48,4448,"AAR07103",NA,NA,NA,NA,NA,NA,NA,7.66,11.58,11.72,12.3
"20","AR07105","Khrazdan","Kotayk","Armenia",40.07,44.44,2749,"AAR07105",NA,NA,NA,NA,NA,7.77,26.83,41.36,60.84,52.83,53.2
"21","AR07106","______________ً","Kotayk","Armenia",40.3,44.58,4389,"AAR07106",NA,NA,NA,NA,NA,1.41,3.87,2.19,11.09,10.15,10.3
"22","AR07107","Tcharentsavan","Kotayk","Armenia",40.41,44.64,5511,"AAR07107",NA,NA,NA,NA,NA,2.35,16.46,24.81,33.9,24.93,25
"23","AR08101","Artik","Shirak","Armenia",40.62,43.98,6295,"AAR08101",NA,NA,NA,NA,5.76,9.07,13.32,16.47,25.13,17.5,17.3
