DATE,DURATION,COUNTRY_ID,EVENT,ID_EVENT
1775,9,US,American Revolutionary War,cw_001
1793,11,FR,War in the Vendee,cw_002
1814,66,AR,Argentine Civil Wars,cw_003
1817,2,ZA,Zulu Civil Wars,cw_004
1824,1,EL,Greek Civil War,cw_005
1828,6,PT,Liberal Wars,cw_006
1829,1,CL,Chilean Civil War,cw_007
1835,10,BR,Ragamuffin War,cw_008
1833,6,ES,Carlist Wars,cw_009
1839,12,UY,Uruguayan Civil War,cw_010
1845,27,NZ,Maori War,cw_011
1847,0,CH,Sonderbund war,cw_012
1857,4,MX,War of Reform,cw_013
1867,7,MY,Klang War,cw_014
1868,1,JP,Boshin War,cw_015
1878,0,MY,Jementah Civil War,cw_016
1891,0,CL,Chilean Civil War,cw_017
1896,1,BR,War of Canudos,cw_018
1898,36,PA,Banana Wars,cw_019
1898,36,NI,Banana Wars,cw_020
1898,36,CU,Banana Wars,cw_021
1898,36,HT,Banana Wars,cw_022
1898,36,DO,Banana Wars,cw_023
1898,36,HN,Banana Wars,cw_024
1898,36,MX,Banana Wars,cw_025
1899,3,CO,Thousand Days War,cw_026
1912,16,CN,Warlord Era,cw_027
1917,4,RU,Russian Civil War,cw_028
1918,0,FI,Finnish Civil War,cw_029
1922,1,IE,Irish Civil War,cw_030
1922,1,PY,Paraguayan Civil War,cw_031
1926,1,NI,Nicaraguan Civil War,cw_032
1926,3,MX,Cristero War,cw_033
1927,10,CN,Chinese Civil War,cw_034
1932,0,BR,Paulista War,cw_035
1934,0,AT,Austrian Civil War,cw_036
1936,3,ES,Spanish Civil War,cw_037
1943,2,IT,Italian Civil War,cw_038
1946,3,EL,Greek Civil War,cw_039
1947,0,PY,Paraguayan Civil War,cw_040
1947,1,PS,Civil War in Mandatory Palestine,cw_041
1948,0,CR,Costa Rican Civil War,cw_042
1948,12,MY,Malaysian Emergency,cw_043
1949,ongoing,MM,Internal Conflict in Burma,cw_044
1950,3,KR,Korean War,cw_045
1953,22,LA,Laotian Secret War,cw_046
1955,17,SD,First Sudanese Civil War,cw_047
1955,20,VN,Vietnam War,cw_048
1960,6,CD,Congo Crisis,cw_049
1960,36,GT,Guatemalan Civil War,cw_050
1962,8,YE,North Yemen Civil War,cw_051
1962,28,NI,Nicaraguan Civil War,cw_052
1965,0,DO,Dominican Civil War,cw_054
1965,15,ZW,Rodhesian Bush War,cw_055
1965,18,TH,Communist Insurgency,cw_056
1963,4,CY,Cypriot Civil War,cw_057
1967,3,NG,Nigerian Civil War,cw_058
1969,29,UK,The Troubles Northern Ireland,cw_059
1970,5,KH,Cambodian Civil War,cw_060
1975,15,LB,Lebanese Civil War,cw_061
1975,17,MZ,Mozambican Civil War,cw_062
1975,27,AO,Angolan Civil War,cw_063
1978,ongoing,AF,Civil War in Afghanistan,cw_064
1979,13,SV,Salvadoran Civil War,cw_065
1983,22,SD,Second Sudanese Civil War,cw_066
1983,26,LK,Sri Lankan Civil War,cw_067
1986,0,YE,South Yemen Civil War,cw_068
1989,7,LR,First Liberian Civil War,cw_069
1990,3,RW,Rwandan Civil War,cw_070
1990,16,SN,Casamance Conflict,cw_071
1991,4,RS,Yugoslav Wars,cw_072
1999,2,AL,Yugoslav Wars,cw_072
1991,0,SI,Yugoslav Wars,cw_072
1991,4,HR,Yugoslav Wars,cw_072
1992,3,BA,Yugoslav Wars,cw_072
2001,0,MK,Yugoslav Wars,cw_072
1991,2,GE,Georgian Civil War,cw_073
1991,11,SL,Sierra Leone Civil War,cw_074
1991,11,DZ,Algerian Civil War,cw_075
1992,5,TJ,Civil War in Tadjikistan,cw_076
1993,12,BI,Burundi Civil War,cw_077
1994,0,YE,Civil War in Yemen,cw_078
1994,2,RU,First Chechen War,cw_079
1994,3,IQ,Iraqi Kurdish Civil War,cw_080
1996,1,CD,First Congo War,cw_081
1996,10,NP,Nepalese Civil War,cw_082
1998,1,GW,Guinea-Bissau Civil War,cw_083
1998,5,CD,Second Congo War,cw_084
1999,4,LR,Second Liberian War,cw_085
1999,10,RU,Second Chechen War,cw_086
2002,5,CI,First Ivorian Civil War,cw_087
2003,8,IQ,Iraq War,cw_088
2005,5,TD,Fourth Chadian Civil War,cw_089
2010,1,CI,Second Ivorian Civil War,cw_090
2011,0,LY,Lybian Civil War,cw_091
2012,3,ML,Mali Conflict,cw_092
1948,ongoing,IL,Israel Palestinian Conflict,cw_093
1962,ongoing,PG,Papua Conflict,cw_094
1964,ongoing,CO,Colombian Conflict,cw_095
1978,ongoing,PE,Peruvian Conflict,cw_096
1988,ongoing,SO,Somali Civil War,cw_097
2012,ongoing,CF,Central African Republic Conflic,cw_098
2013,ongoing,SD,South Sudanese Civil War,cw_099
2014,ongoing,RU,Donbass War,cw_100
2014,ongoing,LY,Second Lybian Civil War,cw_101
2015,ongoing,YE,Yemeni Civil War,cw_102
2015,ongoing,TR,Kurdish Turkish Conflict,cw_103
1846,3,ES,Carlist Wars,cw_104
1872,4,ES,Carlist Wars,cw_105
1945,4,CN,Chinese Civil War,cw_106
