DATE,DURATION,COUNTRY_ID,EVENT,ID_EVENT
1954,8,DZ,Algerian War,wi_001
1775,8,US,American Revolutionary War,wi_002
1961,13,AO,Angolan War of Independence,wi_003
1876,2,BG,Independence of Bulgaria from the Ottoman Empire,wi_004
1919,2,IE,Irish War of independence,wi_005
1971,0,BD,Bangladesh Liberation War,wi_006
1830,9,BE,Independence of Belgium from the Netherlands,wi_007
1992,3,BA,Bosnian War,wi_008
1810,8,CL,Chilean War of Independence,wi_009
1991,4,HR,Croatian War of Independence,wi_010
1843,6,DO,Dominican War of Independence,wi_011
1568,80,NL,Eighty Year's War,wi_012
1961,30,ER,Eritrean War of Independence,wi_013
1918,2,EE,Estonian War of Independence,wi_014
1946,8,LA,First Indochina War,wi_015
1946,8,KH,First Indochina War,wi_016
1946,8,VN,First Indochina War,wi_017
1821,6,EL,Greek War of Independence,wi_018
1963,11,GW,Guinea-Bissau War of Independence,wi_019
1791,13,HT,Haitian Revolution,wi_020
1945,4,ID,Indonesian National Revolution,wi_021
1810,8,AR,Argentine War of Independence,wi_022
1809,16,BO,Bolivian War of Independence,wi_023
1820,2,EC,Ecuadorian War of Independence,wi_024
1810,11,MX,Mexican War of Independence,wi_025
1811,13,PE,Peruvian War of Independence,wi_026
1810,13,VZ,Venezuelan War of Independence,wi_027
1918,2,LV,Latvian War of Independence,wi_028
1918,2,LT,Lithuanian War of Independence,wi_029
1964,10,MZ,Mozambican War of Independence,wi_030
1966,22,NA,Namibian War of Independence,wi_031
1967,3,NG,Nigerian Civil War,wi_032
1640,28,PT,Portuguese Restoration War,wi_033
1877,0,RO,Romanian War of Independence,wi_034
1808,6,ES,Peninsular War,wi_035
1521,2,SE,Swedish War of Liberation,wi_036
1991,0,SI,Ten-Say War,wi_037
1919,4,TR,Turkish War of Independence,wi_038
1917,4,UA,Ukrainian War of Independence,wi_039
1863,2,DO,Dominican War of Independence,wi_040
1919,0,AF,Independence,wi_041
1912,0,AL,Independence,wi_042
1918,0,AM,Independence,wi_043
1991,0,AM,Independence,wi_044
1955,0,AT,Independence,wi_045
1918,0,AZ,Independence,wi_046
1991,0,AZ,Independence,wi_047
1971,0,BH,Independence,wi_048
1944,0,BY,Independence,wi_049
1960,0,BJ,Independence,wi_050
1966,0,BW,Independence,wi_051
1822,0,BR,Independence,wi_052
1960,0,BF,Independence,wi_053
1948,0,MM,Independence,wi_054
1962,0,BI,Independence,wi_055
1960,0,CM,Independence,wi_056
1867,0,CA,Independence,wi_057
1975,0,CV,Independence,wi_058
1960,0,CF,Independence,wi_059
1960,0,TD,Independence,wi_060
1810,0,CO,Independence,wi_061
1960,0,CD,Independence,wi_062
1960,0,CG,Independence,wi_063
1821,0,CR,Independence,wi_064
1902,0,CU,Independence,wi_065
1960,0,CY,Independence,wi_066
1918,0,CZ,Independence,wi_067
1993,0,CZ,Independence,wi_068
1977,0,DJ,Independence,wi_069
1821,0,SV,Independence,wi_070
1968,0,GQ,Independence,wi_071
1991,0,EE,Independence,wi_072
1917,0,FI,Independence,wi_073
1960,0,GA,Independence,wi_074
1965,0,GM,Independence,wi_075
1918,0,GE,Independence,wi_076
1991,0,GE,Independence,wi_077
1957,0,GH,Independence,wi_078
1821,0,GT,Independence,wi_079
1958,0,GN,Independence,wi_080
1821,0,HN,Independence,wi_081
1000,0,HU,Independence,wi_082
1944,0,IS,Independence,wi_083
1947,0,IN,Independence,wi_084
1932,0,IQ,Independence,wi_085
1948,0,IL,Independence,wi_086
1960,0,CI,Independence,wi_087
1962,0,JM,Independence,wi_088
1946,0,JO,Independence,wi_089
1991,0,KZ,Independence,wi_090
1963,0,KE,Independence,wi_091
1945,0,KP,Independence,wi_092
1945,0,KR,Independence,wi_093
1961,0,KW,Independence,wi_094
1991,0,KG,Independence,wi_095
1953,0,LA,Independence,wi_096
1990,0,LV,Independence,wi_097
1943,0,LB,Independence,wi_098
1966,0,LS,Independence,wi_099
1847,0,LB,Independence,wi_100
1951,0,LY,Independence,wi_101
1990,0,LT,Independence,wi_102
1991,0,MK,Independence,wi_103
1960,0,MG,Independence,wi_104
1964,0,MW,Independence,wi_105
1957,0,MY,Independence,wi_106
1960,0,ML,Independence,wi_107
1960,0,MR,Independence,wi_108
1991,0,MO,Independence,wi_109
1911,0,MN,Independence,wi_110
2006,0,ME,Independence,wi_111
1955,0,MA,Independence,wi_112
1821,0,NI,Independence,wi_113
1960,0,NE,Independence,wi_114
1960,0,NG,Independence,wi_115
1814,0,NO,Independence,wi_116
1947,0,PK,Independence,wi_117
1821,0,PA,Independence,wi_118
1975,0,PG,Independence,wi_119
1811,0,PY,Independence,wi_120
1898,0,PH,Independence,wi_121
1918,0,PL,Independence,wi_122
1971,0,QA,Independence,wi_123
1965,0,ZW,Independence,wi_124
1962,0,RW,Independence,wi_125
1960,0,SN,Independence,wi_126
1968,0,MU,Independence,wi_127
1976,0,SC,Independence,wi_128
1961,0,SL,Independence,wi_129
1965,0,SG,Independence,wi_130
1992,0,SK,Independence,wi_131
1960,0,SO,Independence,wi_132
1931,0,ZA,Independence,wi_133
1956,0,SD,Independence,wi_134
1948,0,LK,Independence,wi_135
1975,0,SR,Independence,wi_136
1968,0,SZ,Independence,wi_137
1291,0,CH,Independence,wi_138
1946,0,SY,Independence,wi_139
1991,0,TJ,Independence,wi_140
1961,0,TZ,Independence,wi_141
1960,0,TG,Independence,wi_142
1962,0,TT,Independence,wi_143
1956,0,TN,Independence,wi_144
1991,0,TM,Independence,wi_145
1962,0,UG,Independence,wi_146
1991,0,UA,Independence,wi_147
1971,0,AE,Independence,wi_148
1825,0,UY,Independence,wi_149
1991,0,UZ,Independence,wi_150
1976,0,EH,Independence,wi_151
1967,0,YE,Independence,wi_152
1964,0,ZM,Independence,wi_153
1980,0,ZW,Independence,wi_154
