DATE,DURATION,COUNTRY_ID,EVENT,ID_EVENT
1642,18,UK,English Revolution,rv_001
1688,0,UK,Glorious Revolution,rv_002
1688,0,IN,Siamese Revolution,rv_003
1775,8,US,American Revolution,rv_004
1789,0,FR,French Revolution,rv_005
1789,1,BE,Brabant Revolution ,rv_006
1791,13,HT,Haitian Revolution,rv_007
1804,13,RS,Serbian Revolution against Ottoman Rule,rv_008
1809,0,BO,Chuquisaca and La Paz Revolutions,rv_009
1810,0,AR,May revolution,rv_010
1810,0,BO,May revolution,rv_010
1810,0,PY,May revolution,rv_010
1810,0,UY,May revolution,rv_010
1810,11,MX,Mexican War of Independence against spanish colonialism,rv_098
1825,5,ID,Dipanegara Revolution,rv_099
1830,0,FR,July Revolution,rv_011
1848,0,FR,Revolutions of 1848,rv_012
1848,0,IT,Revolutions of 1848,rv_013
1848,0,DE,Revolutions of 1848,rv_014
1848,0,DK,Revolutions of 1848,rv_015
1848,0,AT,Revolutions of 1848,rv_016
1848,0,MD,Revolutions of 1848,rv_017
1848,0,DE,Revolutions of 1848,rv_018
1854,0,ES,Revolution against the Moderate Party,rv_019
1854,1,MX,Revolution of Ayutla,rv_020
1866,2,JP,Meiji Restoration and modernization revolution,rv_021
1868,0,ES,Glorious Revolution,rv_022
1871,0,GT,Liberal Revolution,rv_023
1894,1,KR,Donghak Peasant Revolution,rv_024
1895,0,PE,Revolution,rv_025
1896,2,PH,Philippines Revolution,rv_109
1904,0,PA,Liberal Revolution,rv_026
1905,0,AR,Argentine Revolution of 1905,rv_027
1905,6,IR,Persian/Iranian constitutional revolution.,rv_028
1905,2,PL,Revolution in the Kingdom of Poland (1905´è_07),rv_029
1905,2,RU,1905 Russian Revolution,rv_030
1908,0,TR,Young Turk Revolution,rv_031
1910,10,MX,Mexican Revolution,rv_032
1910,0,PT,Republican Revolution,rv_033
1911,1,CN,Xinhai Revolution,rv_034
1913,0,CN,Second Revolution against President Yuan Shikai,rv_110
1917,0,RU,"Februay Revolution, October Revolution",rv_035
1917,4,UA,Ukrainian Revolution,rv_036
1918,0,DE,German Revolution,rv_037
1918,4,RU,Third Russian Revolution,rv_038
1918,1,EG,1919 Egyptian revolution,rv_100
1919,0,HU,Hungary Revolution,rv_039
1920,2,IT,Fascist national Revolution,rv_040
1921,3,MN,Independence revolution,rv_101
1925,0,EC,July revolution,rv_041
1926,0,PT,National Revolution,rv_042
1930,0,BR,Brazilian Revolution,rv_043
1932,0,TH,Promoters Revolution,rv_044
1932,0,BR,Constitutionalist Revolution,rv_111
1933,0,CU,Popular revolution,rv_045
1936,0,PY,Febrerista Revolution,rv_046
1936,0,ES,Civil revolutionary war,rv_047
1944,0,GT,Guatemalan Revolution,rv_048
1945,0,VE,Democratic revolution,rv_049
1945,4,ID,Indonesian National Revolution,rv_102
1945,0,VN,August Revolution,rv_103
1952,0,BO,Popular revolution,rv_050
1952,0,LB,Rosewater Revolution,rv_051
1952,0,EG,Egyptian Revolution,rv_052
1956,3,CU,Cuban Revolution,rv_053
1958,0,IQ,Iraqi Revolution,rv_104
1959,3,RW,Rwanda Revolution,rv_054
1960,0,KR,April Revolution,rv_055
1962,0,YE,Revolution,rv_056
1962,12,GW,Revolutionary war of independence in Portuguese Guinea,rv_105
1963,0,IR,White Revolution,rv_057
1964,0,SD,October Revolution,rv_058
1968,0,CG,Revolution,rv_059
1970,0,TT,Black Power Revolution,rv_060
1972,0,BJ,Revolution,rv_061
1972,0,MG,Revolution,rv_106
1974,0,ET,Revolution,rv_062
1974,1,PT,Carnation Revolution,rv_063
1975,0,KH,Revolution,rv_064
1978,0,AF,Saur Revolution,rv_065
1979,0,GD,New Jewel Movement,rv_066
1979,0,NI,Nicaraguan Revolution,rv_067
1979,0,IR,Iranian Revolution,rv_068
1986,0,PH,People Power Revolution,rv_069
1989,3,EE,Singing Revolution,rv_070
1989,3,LV,Singing Revolution,rv_070
1989,3,LT,Singing Revolution,rv_070
1989,0,CN,Revolutions of 1989,rv_071
1989,0,HU,Revolutions of 1989,rv_072
1989,0,PL,Revolutions of 1989,rv_073
1989,0,BG,Revolutions of 1989,rv_074
1989,0,SK,Velvet Revolution,rv_075
1989,0,CZ,Velvet Revolution,rv_075
1989,0,RO,Revolutions of 1989,rv_077
1989,0,DE,Revolutions of 1989,rv_078
1990,2,AL,National Democratic Revolution,rv_079
1991,0,ET,Ethiopian People's Revolution,rv_080
1998,0,VE,Bolivarian Revolution,rv_081
1998,0,ID,Indonesian Revolution of 1998,rv_082
1990,5,HR,Log Revolution,rv_108
2000,0,BA,Bulldozer revolution,rv_083
2000,0,HR,Bulldozer revolution,rv_083
2000,0,RS,Bulldozer revolution,rv_083
2000,0,ME,Bulldozer revolution,rv_083
2000,0,MK,Bulldozer revolution,rv_083
2003,0,GE,Rose revolution,rv_087
2004,1,UA,Orange Revolution,rv_088
2005,0,LB,Cedar Revolution,rv_089
2005,0,KG,Tulip revolution,rv_090
2007,0,MM,Saffron revolution,rv_091
2010,0,KG,Kyrgyz revolution of 2010,rv_092
2011,0,YE,Arab Spring,rv_093
2011,0,EG,Arab Spring,rv_094
2010,1,TN,Arab Spring,rv_095
2012,ongoing,SY,Rojava revolution,rv_096
2014,0,UA,Ukrainian Revolution,rv_097
2001,0,PH,EDSA Revolution,rv_112
