DATE,DURATION,COUNTRY_ID,EVENT,ID_EVENT
1700,21,RU,Great Northern War,w_001
1700,21,DK,Great Northern War,w_001
1700,21,NO,Great Northern War,w_001
1700,21,PL,Great Northern War,w_001
1700,21,LT,Great Northern War,w_001
1700,21,DE,Great Northern War,w_001
1700,21,SE,Great Northern War,w_001
1700,21,UK,Great Northern War,w_001
1701,13,AT,War of the Spanish Succession,w_002
1701,13,DE,War of the Spanish Succession,w_002
1701,13,UK,War of the Spanish Succession,w_002
1701,13,NL,War of the Spanish Succession,w_002
1701,13,PT,War of the Spanish Succession,w_002
1701,13,ES,War of the Spanish Succession,w_002
1701,13,FR,War of the Spanish Succession,w_002
1714,4,IT,Ottoman-Venetian War,w_003
1714,4,AT,Ottoman-Venetian War,w_003
1714,4,TR,Ottoman-Venetian War,w_003
1714,4,ES,Ottoman-Venetian War,w_003
1714,4,MT,Ottoman-Venetian War,w_003
1714,4,PT,Ottoman-Venetian War,w_003
1718,2,FR,War of the Quadruple Alliance,w_004
1718,2,UK,War of the Quadruple Alliance,w_004
1718,2,DE,War of the Quadruple Alliance,w_004
1718,2,NL,War of the Quadruple Alliance,w_004
1718,2,ES,War of the Quadruple Alliance,w_004
1722,1,RU,Russo-Persian Wars,w_005
1722,1,UA,Russo-Persian Wars,w_005
1722,1,GE,Russo-Persian Wars,w_005
1722,1,AM,Russo-Persian Wars,w_005
1722,1,IR,Russo-Persian Wars,w_005
1722,5,TR,Ottoman-Persian War,w_006
1722,5,IR,Ottoman-Persian War,w_006
1727,2,UK,Anglo-Spanish War,w_007
1727,2,ES,Anglo-Spanish War,w_007
1730,5,TR,Ottoman-Persian War,w_008
1730,5,IR,Ottoman-Persian War,w_008
1733,5,PL,War of the Polish Succession,w_009
1733,5,FR,War of the Polish Succession,w_009
1733,5,ES,War of the Polish Succession,w_009
1733,5,IT,War of the Polish Succession,w_009
1733,5,RU,War of the Polish Succession,w_009
1733,5,AT,War of the Polish Succession,w_009
1735,2,ES,Spanish-Portuguese War,w_010
1735,2,PT,Spanish-Portuguese War,w_010
1735,4,RU,Austrian-Russian-Turkish War,w_011
1741,4,DE,Austrian-Russian-Turkish War,w_011
1735,4,TR,Austrian-Russian-Turkish War,w_011
1740,4,DE,War of the Austrian Succession,w_012
1740,8,FR,War of the Austrian Succession,w_012
1740,8,ES,War of the Austrian Succession,w_012
1740,8,IT,War of the Austrian Succession,w_012
1741,2,SE,War of the Austrian Succession,w_012
1740,8,UK,War of the Austrian Succession,w_012
1740,8,NL,War of the Austrian Succession,w_012
1741,3,RU,War of the Austrian Succession,w_012
1743,3,TR,Ottoman-Persian War,w_013
1743,3,IR,Ottoman-Persian War,w_013
1756,7,FR,Seven Years's War,w_014
1756,7,UK,Seven Years's War,w_014
1756,7,IN,Seven Years's War,w_014
1756,7,DE,Seven Years's War,w_014
1761,2,PT,Seven Years's War,w_014
1756,7,AT,Seven Years's War,w_014
1756,6,RU,Seven Years's War,w_014
1761,2,ES,Seven Years's War,w_014
1757,5,SE,Seven Years's War,w_014
1759,1,MM,Burmese-Siamese War,w_015
1759,1,TH,Burmese-Siamese War,w_015
1765,2,MM,Sino-Burmese War,w_016
1765,2,CN,Sino-Burmese War,w_016
1768,8,RU,Russo-Turkish War,w_017
1768,8,TR,Russo-Turkish War,w_017
1768,8,RU,Russo-Turkish War,w_017
1768,8,TR,Russo-Turkish War,w_017
1775,1,MM,Burmese-Siamese War,w_018
1775,1,TH,Burmese-Siamese War,w_018
1775,8,US,American Revolutionary War,w_019
1778,5,FR,American Revolutionary War,w_019
1779,4,ES,American Revolutionary War,w_019
1780,3,NL,American Revolutionary War,w_019
1775,8,UK,American Revolutionary War,w_019
1776,1,ES,Spanish-Portuguese War,w_020
1776,1,PT,Spanish-Portuguese War,w_020
1778,1,DE,War of the Bavarian Succession,w_021
1778,1,AT,War of the Bavarian Succession,w_021
1780,4,UK,Second Anglo-Mysore War,w_022
1780,4,IN,Second Anglo-Mysore War,w_022
1780,4,NL,Second Anglo-Mysore War,w_022
1780,4,FR,Second Anglo-Mysore War,w_022
1784,0,NL,Kettle War,w_023
1784,0,AT,Kettle War,w_023
1785,1,MM,Burmese-Siamese War,w_024
1785,1,TH,Burmese-Siamese War,w_024
1787,0,MM,Burmese-Siamese War,w_024
1787,0,TH,Burmese-Siamese War,w_024
1785,10,US,Northern Indian War,w_025
1785,10,UK,Northern Indian War,w_025
1785,10,CA,Northern Indian War,w_025
1787,4,AT,Austro-Turkish War,w_026
1787,4,TR,Austro-Turkish War,w_026
1787,4,RU,Austro-Turkish War,w_026
1788,2,SE,Russo-Suedish War,w_027
1788,2,RU,Russo-Suedish War,w_027
1788,1,SE,Theatre War,w_028
1788,1,DK,Theatre War,w_028
1788,1,NO,Theatre War,w_028
1788,4,NP,Sino-Nepalese War,w_029
1788,4,CN,Sino-Nepalese War,w_029
1787,5,TR,Russo-Turkish War,w_030
1787,5,RU,Russo-Turkish War,w_030
1801,4,US,First Barbary Wars,w_031
1801,4,SE,First Barbary Wars,w_031
1801,4,TR,First Barbary Wars,w_031
1801,0,FR,War of the Oranges,w_032
1801,0,ES,War of the Oranges,w_032
1801,0,PT,War of the Oranges,w_032
1803,1,MM,Burmese-Siamese War,w_033
1803,1,TH,Burmese-Siamese War,w_033
1803,3,FR,War of the Third Coalition,w_034
1803,3,IT,War of the Third Coalition,w_034
