CNTR_ID,Name,Country code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AD,Andorra,20,6.2,6.69,7.25,7.86,8.53,9.24,9.99,10.78,11.62,12.49,13.41,14.38,15.38,16.41,17.47,18.55,19.65,20.76,21.89,23.06,24.28,25.56,26.89,28.23,29.51,30.71,31.78,32.77,33.75,34.82,36.06,37.5,39.11,40.86,42.7,44.6,46.52,48.46,50.43,52.45,54.51,56.67,58.9,61,62.71,63.85,64.29,64.15,63.89,64.16,65.4,67.77,71.05,74.78,78.34,81.22,83.37,84.88,85.62,85.47,84.42,82.33,79.32,75.9,72.79,70.47
AE,United Arab Emirates,784,69.59,67.97,69.81,73.18,76.71,79.57,81.52,82.87,84.42,87.3,92.61,100.99,112.24,125.22,138.22,150.32,161.08,171.78,185.31,205.57,235.43,275.16,324.07,382.82,451.95,531.27,622.05,722.85,827.39,927.3,1016.79,1093.11,1158.48,1218.22,1280.28,1350.43,1430.55,1518.99,1613.9,1712.12,1811.46,1913.19,2019.01,2127.86,2238.28,2350.19,2467.73,2595.22,2733.77,2884.19,3050.13,3217.87,3394.06,3625.8,3975.95,4481.98,5171.26,6010.1,6900.14,7705.42,8329.45,8734.72,8952.54,9039.98,9086.14,9156.96
AF,Afghanistan,4,7752.12,7839.43,7934.8,8038.31,8150.04,8270.02,8398.31,8534.91,8679.85,8833.13,8994.79,9164.95,9343.77,9531.56,9728.65,9935.36,10148.84,10368.6,10599.79,10849.51,11121.1,11412.82,11716.9,12022.51,12315.55,12582.95,12831.36,13056.5,13222.55,13283.28,13211.41,12996.92,12667,12279.1,11912.51,11630.5,11438.95,11337.93,11375.77,11608.35,12067.57,12789.37,13745.63,14824.37,15869.97,16772.52,17481.8,18034.13,18511.48,19038.42,19701.94,20531.16,21487.08,22507.37,23499.85,24399.95,25183.62,25877.54,26528.74,27207.29,27962.21,28809.17,29726.8,30682.5,31627.51,32526.56
AFR,AFRICA,903,228901.72,233449.42,238230.64,243243.67,248487.76,253963.2,259671.27,265614.26,271795.35,278218.33,284887.15,291805.15,298974.59,306396.38,314070.75,321999.24,330192.06,338656.14,347386.94,356376.75,365625.9,375133.69,384921.06,395036.78,405544.04,416490.41,427894.72,439752.75,452059.64,464801.09,477965.13,491549.11,505554.1,519974.11,534801.87,550027.73,565642.26,581631.16,597972.86,614641.79,631614.3,648899.77,666488.67,684318.64,702310.01,720416.39,738623.1,756979.22,775584.23,794575.02,814063.15,834088.71,854665.84,875849.05,897692.4,920238.95,943507.85,967511,992269.45,1017800.54,1044106.86,1071200.42,1099053.33,1127576.12,1156648.75,1186178.28
AG,Antigua and Barbuda,28,46.3,48.31,49.89,51.09,51.98,52.61,53.06,53.41,53.74,54.14,54.68,55.4,56.31,57.37,58.5,59.65,60.82,62,63.18,64.31,65.37,66.34,67.21,67.97,68.66,69.25,69.78,70.22,70.51,70.55,70.3,69.75,68.95,67.96,66.86,65.74,64.61,63.48,62.54,61.97,61.91,62.41,63.43,64.87,66.55,68.35,70.25,72.23,74.21,76.04,77.65,78.97,80.03,80.9,81.72,82.57,83.47,84.4,85.35,86.3,87.23,88.15,89.07,89.99,90.9,91.82
AI,Anguilla,660,5.12,5.3,5.44,5.55,5.64,5.7,5.74,5.78,5.81,5.83,5.86,5.9,5.95,6,6.06,6.11,6.17,6.23,6.29,6.34,6.4,6.45,6.51,6.55,6.6,6.63,6.66,6.69,6.71,6.72,6.7,6.65,6.59,6.54,6.55,6.66,6.88,7.2,7.58,7.97,8.33,8.67,8.98,9.27,9.54,9.81,10.06,10.31,10.55,10.8,11.07,11.37,11.69,12.02,12.34,12.64,12.9,13.15,13.37,13.57,13.77,13.96,14.13,14.3,14.46,14.61
AL,Albania,8,1263.17,1287.5,1316.09,1348.1,1382.88,1419.97,1459.09,1500.15,1543.22,1588.48,1636.05,1685.9,1737.65,1790.53,1843.6,1896.13,1947.79,1998.7,2049.15,2099.66,2150.6,2202.04,2253.84,2306,2358.47,2411.23,2464.34,2517.87,2571.85,2626.29,2681.25,2735.33,2788.32,2842.62,2901.59,2966.8,3041,3121.34,3197.06,3253.66,3281.45,3275.44,3240.61,3189.62,3140.63,3106.73,3092.03,3092.47,3102.9,3114.85,3121.97,3124.09,3123.11,3117.05,3103.76,3082.17,3050.74,3010.85,2968.03,2929.89,2901.88,2886.01,2880.67,2883.28,2889.68,2896.68
AM,Armenia,51,1353.51,1382.98,1419.91,1463.02,1511.19,1563.51,1619.24,1677.84,1738.9,1802.17,1867.4,1934.24,2002.17,2070.43,2138.13,2204.65,2269.48,2332.62,2394.64,2456.37,2518.41,2580.89,2643.46,2705.58,2766.5,2825.65,2882.83,2938.18,2991.95,3044.56,3096.3,3145.89,3192.88,3239.21,3287.59,3339.15,3396.51,3457.05,3510.44,3542.72,3544.7,3511.91,3449.5,3369.67,3289.94,3223.17,3173.43,3137.65,3112.96,3093.82,3076.1,3060.04,3047.25,3036.42,3025.98,3014.92,3002.16,2988.12,2975.03,2966.11,2963.5,2967.98,2978.34,2992.19,3006.15,3017.71
AME,AMERICA,,340458.78,347444.71,354968.88,362926.72,371229.87,379806.08,388599.93,397572.12,406697.72,415963.11,425356.92,434860.32,444438.58,454037.42,463593.26,473063.58,482421.05,491681.34,500900.16,510159.75,519522.34,529003.85,538593.69,548295.8,558107.71,568027.06,578059.91,588209.81,598467.36,608818.49,619252,629762.05,640348.02,651009.73,661748.74,672564.12,683458.62,694425.24,705442.04,716480.49,727521.83,738534.97,749525.41,760553.33,771703.69,783025.74,794556.64,806244.38,817941.19,829444.79,840614.07,851382.18,861800.1,871988.73,882129.25,892350.18,902689.51,913096.92,923506.43,933816.2,943952.11,953894.5,963667.3,973291.3,982802.15,992224.6
AO,Angola,24,4354.88,4439.71,4529.38,4621.69,4714.97,4808.11,4900.59,4992.44,5084.17,5176.66,5270.84,5367.29,5465.91,5565.81,5665.7,5765.03,5863.57,5962.83,6066.09,6177.7,6300.97,6437.65,6587.65,6750.22,6923.75,7107.33,7299.51,7501.32,7717.14,7952.88,8211.95,8497.95,8807.51,9128.66,9444.92,9745.21,10023.7,10285.71,10544.9,10820.99,11127.87,11472.17,11848.97,12246.79,12648.48,13042.67,13424.81,13801.87,14187.71,14601.98,15058.64,15562.79,16109.7,16691.4,17295.5,17912.94,18541.47,19183.91,19842.25,20520.1,21219.95,21942.3,22685.63,23448.2,24227.52,25021.97
