CNTR_ID,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AW,Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342.47194,16441.38126,16586.1923,17927.41203,19081.57029,19356.42087,20619.56585,20671.54574,20433.65411,20834.93971,22566.68216,23302.83199,24015.42061,25921.53823,27549.88942,24640.42124,24289.14152,25353.78754,,,,
AD,Andorra,AND,,,,,,,,,,,3238.091462,3497.910315,4217.402915,5343.118326,6320.971878,7168.399653,7151.570481,7751.1673,9127.608869,11819.64921,12377.71598,10372.32656,9611.239684,8023.346422,7729.324115,7775.026937,10362.16686,12615.05112,14305.20854,15166.91384,18876.72935,19530.8435,20541.7739,16508.87522,16226.97108,18460.00743,19038.79883,18405.3201,18969.97799,19323.89255,21432.96007,21897.66294,24175.37275,31742.99258,37235.45003,39990.33041,42417.22915,47253.5298,46735.99957,42701.44714,39639.38602,41630.05258,39666.36921,42806.52245,,
AF,Afghanistan,AFG,59.78768071,59.89003694,58.50599501,78.80258686,82.23139456,101.3216271,137.9467829,161.3847018,129.5623184,129.8573782,157.2584608,160.4431518,136.1756113,144.1739444,175.0270977,188.0851361,199.1648093,226.1964267,249.5737098,278.3906252,275.6498281,267.6624236,,,,,,,,,,,,,,,,,,,,119.8990371,192.1535283,203.6510409,224.9147122,257.1757947,280.2456441,380.4009552,384.1316813,458.9557816,569.9407288,622.3796544,690.842629,653.3474881,633.9478643,590.2695154
AO,Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,685.9259744,666.868719,649.881309,633.9073337,926.6006266,901.1076018,1265.627309,872.767664,825.6981351,823.8855437,380.8719231,560.6755166,554.2522329,454.2965495,421.3767773,606.2722922,574.1941611,775.7655185,850.0756941,1135.604564,1576.162801,2253.83885,3151.022431,4242.363062,3678.947654,3886.479354,4744.987629,5086.848426,5327.148892,5232.690501,4102.11859
AL,Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,662.5200523,662.9147926,719.1572957,699.3842921,676.5667325,723.4096102,639.4638993,348.7113178,218.4921659,380.5273711,619.0651634,760.5593758,1046.358511,749.584649,865.3021618,1098.425463,1175.788981,1326.970339,1453.642777,1890.681557,2416.588235,2709.142931,3005.012903,3603.013685,4370.539647,4114.136545,4094.358832,4437.811999,4247.839852,4412.345578,4588.64944,3965.016806
,Arab World,ARB,,,,,,,,,220.8948205,237.1221046,254.58082,287.846557,333.6095601,412.6272074,768.8776869,825.5320208,996.3536991,1113.749067,1191.429935,1555.615345,2053.517705,2048.322022,1850.052314,1683.319562,1656.295076,1585.934028,1465.80838,1542.627698,1474.281803,1503.805273,2008.029448,1923.468913,2023.838335,1993.437094,1987.282182,2070.01971,2233.963163,2317.980393,2188.7491,2334.397881,2608.885949,2513.648254,2481.211638,2742.017174,3146.075761,3779.891078,4375.693704,4993.410744,6178.172278,5213.321665,5957.949586,6918.904726,7519.659216,7561.652304,7478.997517,6453.973814
AE,United Arab Emirates,ARE,,,,,,,,,,,,,,,,27708.71955,30886.57177,34407.98129,28735.80333,33673.41934,42878.85438,45131.33568,40244.83745,35135.86864,32655.37187,30067.13416,23727.6988,23953.34054,22476.97147,24218.55275,27989.30127,26945.65915,26864.18811,26141.33065,26495.82156,27973.74282,29813.37231,30378.54534,27681.31053,29278.76862,34207.53895,32105.64787,32355.4096,34294.894,37179.68189,40298.52422,42950.10058,42913.78403,45720.0179,32905.05385,34341.91129,39901.22092,41712.12421,42831.08913,43962.71369,40438.37636
AR,Argentina,ARG,,,1148.579957,845.0769888,1166.317559,1272.010553,1266.345045,1057.755754,1136.518077,1324.082654,1317.487535,1366.354558,1401.487738,2083.972218,2824.651025,2011.68904,1932.590709,2112.501016,2129.313715,2501.481114,2738.284626,2756.396788,2907.757426,3530.131663,2643.369133,2909.516802,3595.086131,3546.71882,3969.327661,2375.33925,4318.774568,5715.504052,6798.027167,6940.351375,7449.480605,7373.427403,7683.573848,8172.665235,8248.76472,7736.372578,7669.273709,7170.689698,2579.201638,3330.409821,4696.070111,5640.848503,6639.909435,8239.137161,9999.093517,9231.3829,11198.64257,13392.9169,14357.41159,14667.53469,12751.38516,
AM,Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.68069,589.0029482,368.9168368,356.5073514,399.7512025,455.5502761,503.2319696,522.522072,608.3366487,596.5059963,621.4248263,692.3016309,779.8296261,924.4640098,1181.968445,1625.407769,2126.618661,3080.970959,3919.975474,2915.583906,3124.784018,3417.171836,3565.517575,3716.828923,3873.533566,3499.804218
AS,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,941.9199305,1061.660439,1307.396413,1565.648635,1784.415208,2000.751986,2255.369017,2595.024274,3070.43927,3806.149554,4512.53968,5415.84781,6025.847582,6325.240905,6575.480499,6680.37587,7037.939154,7514.48368,7230.320637,7702.670284,8027.631131,8355.618643,8572.373481,10094.75906,9797.968713,10027.85622,10382.6309,10993.36925,12079.8657,13599.90886,15276.06826,15786.17284,13979.26269,13017.31039,12817.84157,13525.61622,13342.085,13432.07921,14128.87855
AU,Australia,AUS,1806.804876,1873.450092,1851.007782,1963.229966,2127.165739,2276.574953,2338.900693,2574.67089,2718.124172,2985.122962,3297.783659,3487.614924,3940.861981,4759.98962,6469.083983,6987.820995,7469.203191,7757.715574,8233.591804,9272.757382,10186.12824,11826.0429,12758.67103,11510.14325,12429.09098,11434.35444,11361.27002,11625.55676,14261.33519,17810.95361,18221.69121,18836.78058,18591.22052,17657.24424,18079.26394,20360.18221,21917.71922,23522.77877,21340.06211,20536.41231,21665.11545,19495.14593,20059.45207,23440.00532,30440.85488,33982.95043,36084.85898,40957.83044,49628.11513,42715.13226,51845.65486,62216.54713,67646.10385,67652.68321,61995.8297,56327.72145
AT,Austria,AUT,935.4604269,1031.815004,1087.834243,1167.000532,1269.412583,1374.53214,1486.968606,1569.667183,1677.673528,1825.386126,2053.809514,2375.242674,2917.004844,3881.349717,4619.601728,5272.887682,5664.707422,6794.220945,8185.701971,9770.17215,10843.36172,9362.639985,9387.677728,9514.431834,8969.405618,9150.001211,13051.55561,16353.27943,17536.27209,17426.86354,21628.76023,22356.92392,24820.22783,24023.51547,25584.91782,30252.79469,29742.42881,26646.88394,27289.63071,27116.67608,24517.26745,24489.73553,26351.37568,32102.93055,36693.40262,38242.04252,40430.99361,46586.65025,51386.37665,47654.18721,46659.84082,51123.56133,48324.25404,50557.80381,51148.35888,43438.86304
AZ,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.324492,1209.237493,676.1515115,530.0903798,436.1905586,397.1981161,409.2167452,505.5605732,561.9103017,573.8902562,655.0974326,703.6712504,763.1012122,883.614009,1045.026415,1578.36733,2473.085776,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7393.771877,7811.621418,7886.459144,5496.34464
BI,Burundi,BDI,70.33307377,71.46943344,73.76032765,78.87416089,86.5716237,51.63793676,52.45748852,55.11290688,55.22538559,56.05911385,70.21250721,72.08427138,69.57464447,84.94108756,95.27524766,114.4921667,119.7461032,143.1284396,155.7545755,194.7028813,222.8806155,228.5663698,232.4372253,241.3683339,213.454202,240.8707878,243.4402474,221.4835184,204.8387173,204.2220618,201.6876563,202.6934403,183.7173204,155.9216027,150.8028052,160.3499893,137.2141027,151.5321043,137.2515028,121.9977308,128.6355365,126.2170813,115.2798803,106.0169747,119.460135,140.8151356,154.9245257,159.2654713,182.6878013,190.3942037,214.2309908,240.6144835,244.1964862,259.3652082,286.0023359,275.9823454
BE,Belgium,BEL,1273.691659,1350.197673,1438.523233,1535.023729,1701.846276,1835.594766,1957.62608,2086.636005,2222.361511,2458.08182,2780.69881,3099.433091,3852.145363,4927.200588,5764.49533,6737.254619,7281.824621,8472.062471,10344.85691,11873.84662,12932.87283,10679.67399,9393.885569,8893.594536,8502.54663,8797.66799,12235.1957,15216.8854,16478.84717,16613.53235,20710.66393,21154.31183,23497.74962,22403.238,24338.16069,28565.94615,27701.85197,25027.77782,25541.71829,25444.13926,23207.40591,23121.56635,25052.33028,30743.95693,35589.71295,36967.28292,38852.36103,44403.83131,48424.58927,44880.56015,44382.87977,47699.80705,44734.45235,46622.46799,47299.86011,40231.28317
BJ,Benin,BEN,93.02258497,95.56692204,94.45187435,99.84044476,104.3237589,110.1326111,112.9735471,112.0276403,117.0224628,116.1885064,114.7366636,112.7455181,135.0086718,162.1749431,174.1707255,207.4405897,208.7604401,218.5292906,263.6310781,327.8231499,377.956636,337.7945068,322.4788073,270.7670925,252.4356598,243.9115095,302.6655703,343.6791653,345.809265,310.6327258,391.8934468,383.2953743,315.2183091,407.4501585,276.1591189,362.4709683,382.2854633,356.5782436,375.0240904,399.0492558,369.7008681,373.5536136,411.9590753,509.4610887,570.6855013,587.0802124,609.0186087,685.5516751,794.8701761,768.0134764,732.9536227,799.0355591,807.688451,882.6386333,903.464924,779.0678678
BF,Burkina Faso,BFA,68.42470567,71.55820886,76.520611,78.37210249,80.47270757,81.72511988,82.54562461,84.36313619,84.73303285,86.52021767,81.49993123,84.28782712,99.3267873,113.7804652,124.3589337,152.7281454,155.6489366,176.7832501,225.9415576,262.0758373,282.6857855,254.2308043,245.0946289,217.9946708,193.8431596,200.8942645,256.7624457,291.1317961,313.0618339,304.8532726,351.9792491,346.4104428,240.9634032,244.1271502,193.0702756,235.832244,249.3587559,229.4880613,255.709631,267.1861609,226.8016078,235.5079325,260.808434,332.4237687,371.3951961,406.9988374,422.479938,474.7109451,569.0142638,551.8432409,574.4580893,665.8074467,673.0267834,709.0712477,713.4564416,613.0419035
BD,Bangladesh,BGD,88.68945339,97.14114749,99.57580239,101.2601481,99.50333117,105.7873098,111.653724,121.6526563,121.5169649,133.5645355,138.245986,131.7702327,93.05100245,117.7819065,179.1641755,272.9701785,138.7232244,128.942513,172.6062003,196.6780059,222.9242646,242.2224312,215.7421858,199.6916194,208.9325984,239.5138363,227.8791364,247.5620475,263.7341157,278.3516037,298.144992,285.296976,285.6978098,292.3645263,291.3258679,320.3619277,383.8299551,390.4079054,396.1696495,398.2295463,406.5317405,403.5945462,401.7081533,434.0465632,462.2748798,485.8528881,495.8537802,543.0822631,618.0758836,683.6144223,760.3319352,838.5478017,858.9333626,954.3963997,1086.800087,1211.701531
BG,Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,2261.417233,2255.761227,2220.823169,1897.078584,1943.062565,1959.938757,2261.757726,3168.865272,2561.108617,2449.800738,2377.335894,1267.734375,1211.980878,1278.247173,1148.494399,1554.046931,1208.850233,1346.91277,1771.993943,1643.609895,1609.280586,1762.455968,2079.228975,2693.75876,3353.564149,3852.977756,4455.690224,5932.899677,7296.122479,6955.987733,6752.552178,7750.03988,7333.355073,7656.638506,7851.265428,6819.869108
BH,Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,8537.597542,9269.146055,9446.158325,9421.452327,9590.777633,8706.829176,7041.488491,7554.713708,7958.11524,8030.25395,8528.760059,9057.563375,9088.63129,9707.566955,10138.47459,10376.36425,10523.08152,10620.34343,10005.23675,10330.73654,13590.52105,12917.3955,13279.0458,14541.61605,16275.18042,18418.07267,19669.31955,21167.61871,23043.02532,19166.70824,20386.01756,22238.71195,23063.13229,24378.94483,24855.21564,23395.74769
BS,"Bahamas, The",BHS,1550.337434,1651.459295,1752.953116,1867.124019,1994.540294,2144.907586,2322.975639,2556.868857,2804.669821,3215.447579,3179.238808,3297.923125,3322.574841,3696.642772,3416.586979,3156.468059,3328.581426,3617.122739,4130.791867,5531.98973,6338.649957,6622.439695,7165.134491,7695.006328,8873.730523,9888.615756,10339.47778,11150.78166,11381.95948,12157.7892,12350.88048,11914.81213,11682.12886,11402.65152,11812.12238,12239.82781,12717.06038,17288.05651,18456.99077,20505.94743,21241.16539,21497.30816,22505.40479,22008.4337,21995.51992,23405.87955,23721.15628,24306.14242,23657.36531,22043.01257,21920.51659,21514.89865,22112.60835,22315.60365,22217.49414,22896.92369
