"","unique(as.factor(cites_out$JOURNAL))"
"1","Journal Statistical Planning Inference"
"2","Journal Regional Science"
"3","Regional Science Urban Economics"
"4","Journal Urban Economics"
"5","Revista Faculdade Letras"
"6","Quarterly Journal Economics"
"7","Functional Equations"
"8","Tutorial"
"9","Land Behind Baghdad"
"10","Lognormal Distribution"
"11","WorldBank"
"12","Revista Estatistica"
"13","Tansformations Mathematical Approaches Culture"
"14","Review Economics Statistics"
"15","NBER"
"16","Courbe Populations"
"17","Cities Regions Self Organizing"
"18","Locational Land Use"
"19","Papers RSA"
"20","Annals Regional Science"
"21","Economic Development Cultural Change"
"22","Urban Studies"
"23","Advanced Econometrics"
"24","Accumulation World Scale"
"25","Journal Economic Literature"
"26","Econometrics Reviews"
"27","Journal Econometrics"
"28","Annals Mathematics Statistics"
"29","Journal American Statistical Association"
"30","Soviet Studies"
"31","Physica A"
"32","Economics Transition"
"33","Dynamics Global Urban Expansion"
"34","Spatial Econometrics"
"35","Spatial Statistics"
"36","Geographical Analysis"
"37","Handbook Applied Economic Statistics"
"38","Advances Spatial Econometrics"
"39","Econometrics Panel Data"
"40","Review Economic Studies"
"41","American Scientist"
"42","Science"
"43","Cities Vital Systems"
"44","Mathematical Social Science"
"45","Statistics Medicine"
"46","Journal Development Economics"
"47","Petermanns Geographische Mitteilungen"
"48","Scientific American Supplement"
"49","Collected Papers"
"50","Volkszahlung"
"51","Papers Regional Science"
"52","Emergent cities"
"53","Brookings"
"54","Review Economic Policy"
"55","UFRGS"
"56","IMF"
"57","Challenges Cities Marocco"
"58","Jericho Mexico"
"59","Population European Cities"
"60","How Nature Works"
"61","Physical Review letters"
"62","History Thailand"
"63","Migracion Desarollo"
"64","Theory Economic Integration"
"65","Astronomy"
"66","Econometric analysis panel data"
"67","Studies Transition States Societies"
"68","Estudio Economico"
"69","Evaluacion Politica Monetaria"
"70","Oxford Bulletin Economics Statistics"
"71","Spatial Regional Population economics"
"72","Journal Political Economy"
"73","Environment Planning A"
"74","Nature"
"75","Innovations GIS"
"76","GIS Geocomputation"
"77","Discrete Dynamics Nature Society"
"78","Stata Journal"
"79","Americal Political Science review"
"80","World Development"
"81","Economic development cultural change"
"82","Locational Theory"
"83","Physical Review E"
"84","Economic Letters"
"85","Pittsburg"
"86","CEPR"
"87","Extremes"
"88","Statistics Extremes"
"89","CeFiG"
"90","Ekistics"
"91","Law Anomalous Numbers"
"92","Journal Geographical Systems"
"93","Annals AAG"
"94","city size distribution"
"95","Chicago"
"96","Urbanization national Development"
"97","Growth centers American urban systems"
"98","Geographical prospectives urban problems"
"99","Counter Urbanization"
"100","Human Stettlement Systems"
"101","Changing shape commuting America"
"102","Metropolitan area Definition"
"103","Contemporary Urban Ecology"
"104","Geographical Review"
"105","Ecosystems"
"106","PNAS"
"107","Acts Population Association America"
"108","Sankhya Series B"
"109","International Regional Science Review"
"110","Review Regional Studies"
"111","Center Food Security"
"112","Finance Development"
"113","Brown"
"114","American Economic Review"
"115","Power laws cities populations"
"116","Journal Business"
"117","Physical Review Letters"
"118","TIPS"
"119","Program Glboal Demography"
"120","Social Forces"
"121","Metropolis Beyond"
"122","Population Growth SMA"
"123","Swarm Intelligence"
"124","ECN"
"125","IFPRI"
"126","Transnational Corporations Underdevelopment"
"127","Handbook Brownian motion"
"128","International Journal Industrial Organization"
"129","Urban Systems"
"130","Systems Cities"
"131","Kyklos"
"132","New intro Geographical Economics"
"133","Introduction Geographical Economics"
"134","Journal Economic Geography"
"135","CPB"
"136","Civilisation Materielle"
"137","Dissertation"
"138","HDR"
"139","Cybergeo"
"140","International Cartographic Conference"
"141","ISCOM"
"142","City populations"
"143","Instituto Estudos Avancados SP"
"144","Anais Encontros Estudos Populacionais"
"145","Europe Magazine European Community"
"146","Revue Geographie Montreal"
"147","Geographical review"
"148","Fed Economic Quarterly"
"149","Slavic Review"
"150","Commissars Mayors"
"151","Bridge"
"152","Scottish Journal Political Economics"
"153","population census"
"154","Patterns Processes Urban Regional"
"155","Environment Planning"
"156","Urbanisme"
"157","Telecommunications demand modelling"
"158","UNICAMP"
"159","Progress Human Geography"
"160","Socio Spatial Dynamics"
"161","Urban Question"
"162","Complexity"
"163","Region Development"
"164","Systeme Villes Europeennes"
"165","Econometric Theory"
"166","Economic Journal"
"167","China Quarterly"
"168","Urbanization World Economy"
"169","European Physics Journal"
"170","Extensions Villes"
"171","Economics Long View"
"172","ERSA"
"173","Urban Transformation Developing World"
"174","International Urban Planning China"
"175","Patterns Development"
"176","Journal Industrial Economics"
"177","Handbook Regional Urban Economics"
"178","Urban problems Western Europe"
"179","Combination Unit Root Test"
"180","Central Places"
"181","Evolution American Urban Society"
"182","European Economic Review"
"183","CEUR"
"184","Statistical Tools Finance insurance"
"185","Does Size Matter"
"186","Advances Temporal databases"
"187","Conditions Economic Progress"
"188","Journal Royal Statistical Society"
"189","Population Growth Land Use"
"190","Urban Geography"
"191","SIAM Review"
"192","Spatial Processes"
"193","Quango Chengshi Renkou"
"194","Urbanization Urban Planning Capitalist"
"195","Concepts Techniaues Modern Geography"
"196","Econometrica"
"197","Rice"
"198","International Economics Review"
"199","Physica Review E"
"200","Espace Geographique"
"201","JASSS"
"202","Nature Metropolis"
"203","Cahiers Scientifiaues Transport"
"204","Ludnosc gminach"
"205","Strong Approximation Probability Statistics"
"206","Bernoulli"
"207","Asymptotic Methods Probability Statistics"
"208","Journal Computational Applied Mathematics"
"209","Rise Decline Cities"
"210","Journal Macroeconomics"
"211","Journal urban Economics"
"212","Sao Paulo Perspectiva"
"213","New Trends Macroeconomics"
"214","Indian Stat Institute"
"215","OrderStatistics"
"216","Econometric Theory Methods"
"217","Urban Systems Development"
"218","Change South African City"
"219","Review Economic Dynamics"
"220","unpublished"
"221","Job Creation Destruction"
"222","National Urban Development Framework"
"223","Beyond Monolith"
"224","CSIR"
"225","World Bank"
"226","EIB"
"227","Conference Urban Modelling"
"228","Ekonomi Basak"
"229","Turkiye Kentlerin Buyumesi"
"230","Soviet Geography"
"231","Geographical Studies Soviet Union"
"232","Land Use Policy"
"233","Chinese Geographic Research"
"234","Statistisches Gemeinden"
"235","Patterns European Urbanization"
"236","European Urbanization"
"237","SCALES"
"238","Growth Employment Redistribution"
"239","Journal Labor Economics"
"240","Region Developpement"
"241","Investment Under Uncertainty"
"242","Economics Cities"
"243","Migrations Crisis Conflicts Balkan"
"244","Land"
"245","Population Studies"
"246","Metropolis Region"
"247","Economies Previsions"
"248","Toronto"
"249","Handbook Macroeconomics"
"250","Geoforum"
"251","Geographia Polonica"
"252","Regional Science Urban Economic"
"253","Krupnie Goroda Vyzovy Globalizacii"
"254","Bulletin Economique Social Maroc"
"255","Development Greek Cities"
"256","ABS"
"257","Urbanization Israel"
"258","Pennsylvania"
"259","Thesis"
"260","Reserve Bank Australia"
"261","Journal developing areas"
"262","Modelling Events Insurance Finance"
"263","Encyclopaedia Britannica"
"264","Cities After Socialism"
"265","Growing Artificial Societies"
"266","Economic Systems"
"267","European Spatial Development Perspective"
"268","Census"
"269","Income elasticity"
"270","Congreso Asociacion Demografia Historica"
"271","Gammes Stenographiques"
"272","Economics Residential Location"
"273","Congress RSA"
"274","Russia Ruled"
"275","Department economics"
"276","Population Research policy Review"
"277","Journal Comparative Economics"
"278","Papers Proceedings RSA"
"279","Federal Register"
"280","Tax Policy Economy"
"281","Applied Economics"
"282","Unpublished"
"283","Russia Torn Safety Nets"
"284","Geographical Journal"
"285","European Regional Growth"
"286","Contemporary Urban Sociology"
"287","World Archaeology"
"288","Space Time Concepts Models"
"289","Space Timing Space Spacing Time"
"290","Professional geographer"
"291","Computer Environment Urban Systems"
"292","recensement"
"293","Capitalism Underdevelopment Latin America"
"294","Measuring Hierarchical Organization Urban"
"295","Humanae"
"296","Plans Pragmatism People"
"297","Urban Affairs Quarterly"
"298","International Journal Urban Regional"
"299","New International Division Labor"
"300","American Sociological Review"
"301","Urban Economic Theory"
"302","Symposium Dynamic Firm"
"303","Spatial Economy"
"304","Why Great cities port"
"305","Journal Japanese International Economies"
"306","Economies Agglomeration"
"307","Dictadura Democracia"
