REFID,AUTHOR,YEAR,DISCIPLINE,JOURNAL,Pop74Sov,Oka79Reg,Mal80Env,Ros80Jou,Sua80Jou,Par83Jou,Par85Jou,Mir86Urb,Ett87Env,Alp89Jou,Cam90Jou,Kam90Jou,Gue95Urb,Kru96Jou,Kra98Urb,Bra99Jou,Gab99Qua,Bre00Cyb,Bat01Urb,Knu01Ame,Son02Urb,Bla03Jou,Nau03Jou,Del04Con,Eec04The,And05Reg,Cra05Con,Soo05Reg,Gan06Eco,Soo07Urb,Bos08Reg,LeG08Emp,Nis08Jou,Dim09Urb,XuZ09Urb,Gie10Jou,Gon10Jou,Hol10Nat,Pen10Phy,Gab11Jou,Roz11Ame,Arr12Reg,Ber12Cit,Gul12Age,Sch12Reg,She12Com,Del13Eur,Gan13Eco,Iye13Eur,Mor13Tex,Mor13Tow,Ven13Oec,Ama14Int,Ara14Eco,Kum14Jou,Luc14Eco,Bre15Int,Ezz15Rev,Faz15Jou,Ign15Dis,Mod15Qua,Pum15Cyb,Cie16Mis,Li_16Wor,Man16Reg,Ziq16Asi
Pop74Sov,Popov V. R.,1974,GEO,Soviet Geography,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oka79Reg,Okabe A.,1979,REG,Regional Science and Urban Economics,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mal80Env,Malecki E. J.,1980,GEO,Environment and Planning A,0,0,0,,,,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,
Ros80Jou,Rosen K. T. & Resnick M.,1980,ECO,Journal of Urban Economics,0,0,0,0,,,1,,,,1,1,1,1,1,,1,,,1,1,1,1,1,,1,,1,1,1,,,1,1,1,1,,,1,1,,1,1,,1,,1,,1,1,1,1,1,1,1,1,,1,1,,1,,1,,1,
Sua80Jou,Suarez-villa L.,1980,REG,Journal of Regional Science,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Par83Jou,Parr J. B. & Jones,1983,REG,Journal of Regional Science,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Par85Jou,Parr J. B.,1985,ECO,Journal of Urban Economics,0,0,0,0,0,0,0,,,,,,1,,1,1,1,,,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,
Mir86Urb,Mirucki J.,1986,REG,Urban Studies,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ett87Env,Ettlinger N. & Archer J. C.,1987,GEO,Environment and Planning A,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alp89Jou,Alperovich G.,1989,ECO,Journal of Urban Economics,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Cam90Jou,Cameron T. A.,1990,ECO,Journal of Urban Economics,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
Kam90Jou,Kamecke U.,1990,ECO,Journal of Urban Economics,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
