REFID,AUTHOR,YEAR,PAGE,JOURNAL,N_ESTIM,IN_HERE,IN_NITSCH,REGRESSIONFORM,SOURCE,ECO,SOC,PHYS,CROWDSOURCED,ADDED,ARXIV
All54Bul,Allen G. R.,1954,,Bulletin of the Oxford University Institute of Statistics,69,0,1,PARETO,,0,0,0,0,,0
Alp89Jou,Alperovich G.,1989,97,Journal of Urban Economics,22,1,1,PARETO,http://ac.els-cdn.com/0094119089900466/1-s2.0-0094119089900466-main.pdf?_tid=592daf16-44fb-11e5-ab52-00000aacb362&acdnat=1439828382_f6aae5f656b7f6cb754afbc465083bcc,1,1,0,0,Dec-15,1
Ama14Int,Amalraj V. C. & Subbarayan A.,2014,381,International Journal of Pure and Applied Mathematics ,6,1,0,LOTKA,http://ijpam.eu/contents/2014-95-3/5/,0,0,0,0,Jun-16,1
And05Reg,Anderson G. & Ge Y.,2005,768,Regional Science and Urban Economics,16,1,0,LOTKA,http://www.sciencedirect.com/science/article/pii/S0166046205000062,1,1,0,0,Dec-15,1
Ara14Eco,Aragon J. A. O. & Queiroz V.,2014,90,EconomiA,36,1,0,PARETO,http://www.sciencedirect.com/science/article/pii/S1517758014000083?np=y,0,0,0,0,Jun-16,1
Arr12Reg,Arribas-Bel D. et al.,2012,170,Region et Developpement ,2,1,0,PARETO,http://region-developpement.univ-tln.fr/en/pdf/R36/9-Arribas.pdf,0,0,0,0,Jun-16,1
Bat01Urb,Batty M.,2001,640,Urban Studies,10,1,0,LOTKA,http://usj.sagepub.com/content/38/4/635.full.pdf,0,1,1,0,Dec-15,1
Ben07Com,Benguigui L. & Blumenfeld-Lieberthal E.,2007,654,"Computers, Environment and Urban Systems",17,1,0,LOTKA,http://www.sciencedirect.com/science/article/pii/S0198971506001025,0,1,1,0,Dec-15,1
Ber12Cit,Berry B. &  Okulicz-Kozaryn A.,2012,521,Cities,3,1,0,LOTKA,http://ac.els-cdn.com/S0264275111001363/1-s2.0-S0264275111001363-main.pdf?_tid=24b323d4-45bd-11e5-9bf2-00000aab0f26&acdnat=1439911617_9d64311d1ac0efde916d2efe0651d9eb,0,1,0,0,Dec-15,1
Bla03Jou,Black D. & Henderson V.,2003,352,Journal of Economic Geography,20,1,1,PARETO,http://joeg.oxfordjournals.org/content/3/4/343.full.pdf,1,1,0,0,Dec-15,1
Bos08Reg,Bosker al.,2008,337,Regional Science and Urban Economics,3,1,0,PARETO,http://www.sciencedirect.com/science/article/pii/S016604620800046X,1,1,0,0,Dec-15,1
Bra99Jou,Brakman S. et al.,1999,187,Journal of Regional Science,3,1,1,LOTKA,http://onlinelibrary.wiley.com/doi/10.1111/1467-9787.00129/epdf,0,1,1,0,Dec-15,1
Bre00Cyb,Bretagnolle A. et al. ,2000,21,Cybergeo,8,1,0,LOTKA,https://cybergeo.revues.org/566,0,1,0,0,Dec-15,1
Bre08Cyb,Bretagnolle A. et al.,2008,59,Cybergeo,12,1,0,LOTKA,http://cybergeo.revues.org/19683,0,1,0,0,Dec-15,1
Bre15Int,Bretagnolle A. & Delisle F.,2015,864,International Journal of Geographical Information Science,6,1,0,LOTKA,http://www.tandfonline.com/doi/pdf/10.1080/13658816.2014.999681,0,1,0,0,Dec-15,1
Cam90Jou,Cameron T. A.,1990,201,Journal of Urban Economics,1,1,0,PARETO,http://ac.els-cdn.com/0094119090900036/1-s2.0-0094119090900036-main.pdf?_tid=ddb209f8-4587-11e5-85fb-00000aacb35d&acdnat=1439888734_6ef626d061f3e3c052d2aa168b6976fd,1,1,0,0,Dec-15,1
Cat08Reg,Catin M. et al,2008,217,Region et Developpement ,11,1,0,LOTKA,http://region-developpement.univ-tln.fr/fr/pdf/R27/Catin-Cuenca-Kamal.pdf,0,0,0,0,Dec-15,1
Cot14Dis,Cottineau C.,2014,131,Dissertation,33,1,0,LOTKA,https://halshs.archives-ouvertes.fr/tel-01167818,0,0,0,0,Dec-15,1
Cra05Con,Crampton G.,2005,4,Congress of the European Regional Science Association,14,1,0,PARETO,https://www.econstor.eu/handle/10419/117499,0,0,0,0,Jun-16,1
Dav02Ame,Davis D.R. & Weinstein D. E.,2002,,American Economic Review,12,0,1,PARETO,http://www.nber.org/papers/w8517.pdf,1,0,0,0,,0
Del04Con,Delgado A. P. & Godinho I. M.,2004,12,Congress of the European Regional Science Association,24,1,0,LOTKA,https://www.econstor.eu/handle/10419/117123,0,0,0,0,Jun-16,1
Del13Eur,Deliktas E. et al.,2013,257,European Planning Studies,10,1,0,PARETO,http://www.tandfonline.com/doi/abs/10.1080/09654313.2012.722922,0,1,0,0,Jun-16,1
Deu72Tij,Deurloo M. C.,1972,308,Tijdschrift voor economische en sociale geografie,1,1,0,PARETO,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-9663.1972.tb00557.x/full,1,1,0,0,May-16,1
DeV84Rou,De Vries J.,1984,,Routledge,26,0,1,LOTKA,,0,0,0,0,,0
Dim09Urb,Dimou M. & Schaffar A.,2009,9,Urban Studies,3,1,0,PARETO,http://usj.sagepub.com/content/early/2009/09/04/0042098009344993.full.pdf,0,1,1,0,Dec-15,1
Dob00The,Dobkins L. H. & Ioannides Y. M.,2000,32,The Economics of Cities,10,1,1,PARETO,http://ase.tufts.edu/economics/documents/papers/prior2000/papers1999-16.pdf,0,0,0,0,Dec-15,1
Eat96Reg,Eaton J. & Eckstein Z.,1996,,Regional Science and Urban Economics,6,0,1,PARETO,http://ac.els-cdn.com/S0166046297800051/1-s2.0-S0166046297800051-main.pdf?_tid=6f81f736-4726-11e5-b271-00000aab0f6c&acdnat=1440066791_fd37f3b39bd068bcb37e36a5f1fc3b0b,1,1,0,0,,0
Eec04The,Eeckhout J. ,2004,1441,The American Economic Review,6,1,0,PARETO,http://www.jstor.org/stable/pdf/3592829.pdf,1,0,0,0,Dec-15,1
Ett87Env,Ettlinger N. & Archer J. C.,1987,1167,Environment and Planning A,6,1,0,LOTKA,http://www.environmentandplanning.com/epa/fulltext/a19/a191161.pdf,0,1,1,0,Dec-15,1
