"","Alp89Jou.txt","Ama14Int.txt","And05Reg.txt","Ara14Eco.txt","Arr12Reg.txt","Bat01Urb.txt","Ben07Com.txt","Ber12Cit.txt","Bla03Jou.txt","Bos08Reg.txt","Bra99Jou.txt","Bre00Cyb.txt","Bre15Int.txt","Cam90Jou.txt","Cie16Mis.txt","Cra05Con.txt","Del04Con.txt","Del13Eur.txt","Dim09Urb.txt","Eec04The.txt","Ett87Env.txt","Ezz15Rev.txt","Faz15Jou.txt","Gab11Jou.txt","Gab99Qua.txt","Gan06Eco.txt","Gan13Eco.txt","Gie10Jou.txt","Gon10Jou.txt","Gue95Urb.txt","Gul12Age.txt","Hol10Nat.txt","Ign15Dis.txt","Iye13Eur.txt","Kam90Jou.txt","Knu01Ame.txt","Kru96Jou.txt","Kum14Jou.txt","LeG08Emp.txt","Li_16Wor.txt","Luc14Eco.txt","Mal80Env.txt","Man16Reg.txt","Mir86Urb.txt","Mod15Qua.txt","Mor13Tex.txt","Mor13Tow.txt","Nau03Jou.txt","Nis08Jou.txt","Oka79Reg.txt","Par83Jou.txt","Par85Jou.txt","Pen10Phy.txt","Pop74Sov.txt","Pum15Cyb.txt","Ros80Jou.txt","Roz11Ame.txt","Sch12Reg.txt","She12Com.txt","Son02Urb.txt","Soo05Reg.txt","Soo07Urb.txt","Sua80Jou.txt","Ven13Oec.txt","XuZ09Urb.txt","Ziq16Asi.txt"
"accept",0.0020979020979021,0,0,0,0,0,0.000699300699300699,0,0,0.000266737796745799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013986013986014,0.000266737796745799,0,0,0,0,0,0.000266737796745799,0,0,0,0.000266737796745799,0,0.000266737796745799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000266737796745799,0,0,0,0,0,0,0,0
"acceptance",0.00309358081979892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154679040989946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185873605947955,0,0
"accepted",0.000291036088474971,0,0,0,0,0,0.000873108265424913,0,0,0.000244917952485917,0,0,0,0,0,0,0,0,0,0,0,0.000244917952485917,0,0,0,0,0,0,0,0,0,0,0,0.000244917952485917,0,0,0,0,0,0,0,0,0,0,0,0,0.000291036088474971,0,0,0.000734753857457752,0,0,0,0,0,0.000244917952485917,0,0,0,0,0,0,0,0.000734753857457752,0,0
"accepting",0.000334001336005344,0,0,0,0,0,0,0.00029585798816568,0,0.00029585798816568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029585798816568,0,0,0,0,0,0
"according",0.000280033604032484,0.00244648318042813,0,0.00611620795107034,0.000280033604032484,0.00122324159021407,0,0.00122324159021407,0.00140016802016242,0.00244648318042813,0.000280033604032484,0.0055045871559633,0.00308036964435732,0,0.00140016802016242,0,0.000280033604032484,0.00305810397553517,0.00112013441612994,0.00122324159021407,0.000280033604032484,0.0055045871559633,0.0016802016241949,0.000611620795107034,0.000280033604032484,0.00122324159021407,0.000560067208064968,0.0018348623853211,0.000840100812097452,0.000611620795107034,0.000840100812097452,0.00122324159021407,0.000280033604032484,0.00489296636085627,0.000840100812097452,0.0134556574923547,0,0.00122324159021407,0.000560067208064968,0.00611620795107034,0,0,0.000840100812097452,0,0.00336040324838981,0.00122324159021407,0.0016802016241949,0.00305810397553517,0,0.00489296636085627,0.000280033604032484,0.00122324159021407,0,0,0.00224026883225987,0,0.000280033604032484,0.0018348623853211,0.0016802016241949,0.0036697247706422,0.000280033604032484,0,0.000280033604032484,0.000611620795107034,0.0016802016241949,0.0018348623853211
"accordingly",0.000246184145741014,0,0,0.000236742424242424,0,0,0,0,0,0,0,0,0,0,0,0,0.000246184145741014,0,0,0,0,0,0.000246184145741014,0,0,0.000236742424242424,0,0,0,0,0,0,0,0,0,0.000473484848484848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000492368291482029,0,0,0,0,0,0,0.000236742424242424,0.000246184145741014,0
"accuracy",0.000414765657403567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000414765657403567,0,0,0,0,0,0,0,0,0.000299222022740874,0.000414765657403567,0,0,0,0,0,0,0,0,0.000598444045481747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"accurate",0.00178890876565295,0,0,0,0,0,0,0.00081366965012205,0,0,0,0.00081366965012205,0.000447227191413238,0.00081366965012205,0.000447227191413238,0,0,0,0,0.00244100895036615,0,0,0.000894454382826476,0,0.000447227191413238,0,0,0,0,0.00081366965012205,0,0,0,0,0.000447227191413238,0,0,0,0,0.00081366965012205,0,0,0,0,0,0,0,0,0.00313059033989267,0,0.000447227191413238,0,0,0,0,0.00081366965012205,0,0,0,0.00244100895036615,0,0.00081366965012205,0,0,0.000894454382826476,0
"achieve",0.0001933114247052,0,0,0.000971345313258863,0,0,0.0001933114247052,0,0.0001933114247052,0,0.0001933114247052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001933114247052,0,0.0003866228494104,0,0.0001933114247052,0.000485672656629432,0,0,0,0,0,0.000485672656629432,0,0,0.0001933114247052,0,0,0,0,0,0,0,0.0001933114247052,0,0,0,0,0.000485672656629432,0,0,0,0,0,0,0,0,0,0
"additional",0.000194099378881988,0,0.000194099378881988,0,0.000194099378881988,0,0,0,0,0.00117370892018779,0.000388198757763975,0,0,0.000586854460093897,0.000582298136645963,0,0,0,0.000194099378881988,0.00117370892018779,0,0,0,0.000586854460093897,0,0,0.000194099378881988,0.00117370892018779,0,0.00117370892018779,0,0.000586854460093897,0.000194099378881988,0,0,0.000586854460093897,0,0,0.000194099378881988,0,0,0,0,0,0,0,0.000194099378881988,0.000586854460093897,0.000194099378881988,0,0.00077639751552795,0.000586854460093897,0,0,0,0.00117370892018779,0,0,0.000194099378881988,0,0.00135869565217391,0.00176056338028169,0,0,0.000194099378881988,0
"allow",0.000260078023407022,0,0,0,0.000260078023407022,0,0,0,0.000260078023407022,0.00436046511627907,0,0.000726744186046512,0.000260078023407022,0.00218023255813953,0,0.000726744186046512,0.000520156046814044,0,0.000260078023407022,0.00218023255813953,0,0,0.000520156046814044,0,0.000780234070221066,0,0,0,0,0,0.000520156046814044,0.000726744186046512,0.000520156046814044,0,0,0.000726744186046512,0,0.000726744186046512,0.000520156046814044,0,0.000260078023407022,0.000726744186046512,0.000260078023407022,0.000726744186046512,0.000520156046814044,0.000726744186046512,0,0.000726744186046512,0,0,0,0,0,0,0,0,0.000520156046814044,0.00145348837209302,0,0.000726744186046512,0,0,0,0.000726744186046512,0.000260078023407022,0
"almost",0.000391236306729264,0.000329055610398157,0.00117370892018779,0.000329055610398157,0.000391236306729264,0.000658111220796315,0,0,0.000782472613458529,0.00131622244159263,0.00117370892018779,0.000329055610398157,0,0,0.000782472613458529,0.000329055610398157,0.000391236306729264,0,0.00156494522691706,0,0,0.000329055610398157,0.000391236306729264,0,0.000391236306729264,0.000329055610398157,0,0.00164527805199079,0.00195618153364632,0.00164527805199079,0.000391236306729264,0,0.00391236306729264,0.000658111220796315,0.00117370892018779,0.0023033892727871,0,0,0.000782472613458529,0.00131622244159263,0,0,0,0,0.000391236306729264,0.000658111220796315,0.000391236306729264,0.000658111220796315,0,0.000329055610398157,0,0,0.00195618153364632,0,0.00117370892018779,0.000658111220796315,0,0.000658111220796315,0.000782472613458529,0,0.00117370892018779,0.000658111220796315,0,0.000658111220796315,0,0
"alperovich",0.00272373540856031,0,0,0,0,0,0,0.000319182891797,0,0,0,0,0,0.000957548675390999,0.000389105058365759,0,0,0.000319182891797,0,0,0,0,0,0.000319182891797,0,0,0,0,0,0,0,0,0,0,0.000778210116731518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000778210116731518,0,0,0,0,0
