JOURNAL;DISCPLINE
Journal Statistical Planning Inference;PHY
Journal Regional Science;REG
Regional Science Urban Economics;REG
Journal Urban Economics;ECO
Revista Faculdade Letras;OTHER
Quarterly Journal Economics;ECO
Functional Equations;PHY
Tutorial;OTHER
Land Behind Baghdad;OTHER
Lognormal Distribution;PHY
WorldBank;OTHER
Revista Estatistica;PHY
Tansformations Mathematical Approaches Culture;PHY
Review Economics Statistics;ECO
NBER;ECO
Courbe Populations;OTHER
Cities Regions Self Organizing;OTHER
Locational Land Use;OTHER
Papers RSA;REG
Annals Regional Science;REG
Economic Development Cultural Change;ECO
Urban Studies;REG
Advanced Econometrics;ECO
Accumulation World Scale;OTHER
Journal Economic Literature;
Econometrics Reviews;
Journal Econometrics;
Annals Mathematics Statistics;
Journal American Statistical Association;
Soviet Studies;
Physica A;
Economics Transition;
Dynamics Global Urban Expansion;
Spatial Econometrics;
Spatial Statistics;
Geographical Analysis;
Handbook Applied Economic Statistics;
Advances Spatial Econometrics;
Econometrics Panel Data;
Review Economic Studies;
American Scientist;
Science;
Cities Vital Systems;
Mathematical Social Science;
Statistics Medicine;
Journal Development Economics;
Petermanns Geographische Mitteilungen;
Scientific American Supplement;
Collected Papers;
Volkszahlung;
Papers Regional Science;
Emergent cities;
Brookings;
Review Economic Policy;
UFRGS;
IMF;
Challenges Cities Marocco;
Jericho Mexico;
Population European Cities;
How Nature Works;
Physical Review letters;
History Thailand;
Migracion Desarollo;
Theory Economic Integration;
Astronomy;
Econometric analysis panel data;
Studies Transition States Societies;
Estudio Economico;
Evaluacion Politica Monetaria;
Oxford Bulletin Economics Statistics;
Spatial Regional Population economics;
Journal Political Economy;
Environment Planning A;
Nature;
Innovations GIS;
GIS Geocomputation;
Discrete Dynamics Nature Society;
Stata Journal;
Americal Political Science review;
World Development;
Economic development cultural change;
Locational Theory;
Physical Review E;
Economic Letters;
Pittsburg;
CEPR;
Extremes;
Statistics Extremes;
CeFiG;
Ekistics;
Law Anomalous Numbers;
Journal Geographical Systems;
Annals AAG;
city size distribution;
Chicago;
Urbanization national Development;
Growth centers American urban systems;
Geographical prospectives urban problems;
Counter Urbanization;
Human Stettlement Systems;
Changing shape commuting America;
Metropolitan area Definition;
Contemporary Urban Ecology;
Geographical Review;
Ecosystems;
PNAS;
Acts Population Association America;
Sankhya Series B;
International Regional Science Review;
Review Regional Studies;
Center Food Security;
Finance Development;
Brown;
American Economic Review;
Power laws cities populations;
Journal Business;
Physical Review Letters;
TIPS;
Program Glboal Demography;
Social Forces;
Metropolis Beyond;
Population Growth SMA;
Swarm Intelligence;
ECN;
IFPRI;
Transnational Corporations Underdevelopment;
Handbook Brownian motion;
International Journal Industrial Organization;
Urban Systems;
Systems Cities;
Kyklos;
New intro Geographical Economics;
Introduction Geographical Economics;
Journal Economic Geography;
CPB;
Civilisation Materielle;
Dissertation;
HDR;
Cybergeo;
International Cartographic Conference;
ISCOM;
City populations;
Instituto Estudos Avancados SP;
Anais Encontros Estudos Populacionais;
Europe Magazine European Community;
Revue Geographie Montreal;
Geographical review;
Fed Economic Quarterly;
Slavic Review;
Commissars Mayors;
Bridge;
Scottish Journal Political Economics;
population census;
Patterns Processes Urban Regional;
Environment Planning;
Urbanisme;
Telecommunications demand modelling;
UNICAMP;
Progress Human Geography;
Socio Spatial Dynamics;
Urban Question;
Complexity;
Region Development;
Systeme Villes Europeennes;
Econometric Theory;
Economic Journal;
China Quarterly;
Urbanization World Economy;
European Physics Journal;
Extensions Villes;
Economics Long View;
ERSA;
Urban Transformation Developing World;
International Urban Planning China;
Patterns Development;
Journal Industrial Economics;
Handbook Regional Urban Economics;
Urban problems Western Europe;
Combination Unit Root Test;
Central Places;
Evolution American Urban Society;
European Economic Review;
CEUR;
Statistical Tools Finance insurance;
Does Size Matter;
Advances Temporal databases;
Conditions Economic Progress;
Journal Royal Statistical Society;
Population Growth Land Use;
Urban Geography;
SIAM Review;
Spatial Processes;
Quango Chengshi Renkou;
Urbanization Urban Planning Capitalist;
Concepts Techniaues Modern Geography;
Econometrica;
Rice;
International Economics Review;
Physica Review E;
Espace Geographique;
JASSS;
Nature Metropolis;
Cahiers Scientifiaues Transport;
Ludnosc gminach;
Strong Approximation Probability Statistics;
Bernoulli;
Asymptotic Methods Probability Statistics;
Journal Computational Applied Mathematics;
Rise Decline Cities;
Journal Macroeconomics;
Journal urban Economics;
Sao Paulo Perspectiva;
New Trends Macroeconomics;
Indian Stat Institute;
OrderStatistics;
Econometric Theory Methods;
Urban Systems Development;
Change South African City;
Review Economic Dynamics;
unpublished;
Job Creation Destruction;
National Urban Development Framework;
Beyond Monolith;
CSIR;
World Bank;
EIB;
Conference Urban Modelling;
Ekonomi Basak;
Turkiye Kentlerin Buyumesi;
Soviet Geography;
Geographical Studies Soviet Union;
Land Use Policy;
Chinese Geographic Research;
Statistisches Gemeinden;
Patterns European Urbanization;
European Urbanization;
SCALES;
Growth Employment Redistribution;
Journal Labor Economics;
Region Developpement;
Investment Under Uncertainty;
Economics Cities;
Migrations Crisis Conflicts Balkan;
Land;
Population Studies;
Metropolis Region;
Economies Previsions;
Toronto;
Handbook Macroeconomics;
Geoforum;
Geographia Polonica;
Regional Science Urban Economic;
Krupnie Goroda Vyzovy Globalizacii;
Bulletin Economique Social Maroc;
Development Greek Cities;
ABS;
Urbanization Israel;
Pennsylvania;
Thesis;
Reserve Bank Australia;
Journal developing areas;
Modelling Events Insurance Finance;
Encyclopaedia Britannica;
Cities After Socialism;
Growing Artificial Societies;
Economic Systems;
European Spatial Development Perspective;
Census;
Income elasticity;
Congreso Asociacion Demografia Historica;
Gammes Stenographiques;
Economics Residential Location;
Congress RSA;
Russia Ruled;
Department economics;
Population Research policy Review;
Journal Comparative Economics;
Papers Proceedings RSA;
Federal Register;
Tax Policy Economy;
Applied Economics;
Unpublished;
Russia Torn Safety Nets;
Geographical Journal;
European Regional Growth;
Contemporary Urban Sociology;
World Archaeology;
Space Time Concepts Models;
Space Timing Space Spacing Time;
