"","i","j","cosSim"
"1628","Dim09Urb","Sch12Reg",0.486664263392288
"2056","Ama14Int","Kum14Jou",0.433012701892219
"1482","Soo07Urb","Nis08Jou",0.411475599898912
"1409","Soo05Reg","Nis08Jou",0.356348322549899
"550","Alp89Jou","Cam90Jou",0.338061701891407
"1529","Bos08Reg","Sch12Reg",0.337690816752985
"1406","Soo05Reg","Soo07Urb",0.329914439536929
"1330","And05Reg","Bos08Reg",0.327085568397529
"1594","Nis08Jou","Ber12Cit",0.324442842261525
"1244","Del04Con","And05Reg",0.321633760451338
"1518","Bos08Reg","Dim09Urb",0.320256307610174
"1285","Eec04The","And05Reg",0.318464877649241
"1360","And05Reg","Mod15Qua",0.316723032985958
"1327","And05Reg","Soo05Reg",0.315838082854618
"1296","Eec04The","Gon10Jou",0.308020551816849
"1344","And05Reg","Sch12Reg",0.301237616564389
