"","REFID","n_cites"
"Zip1949Hum1220","Zipf_1949_Human_Behavior_Principle_Least_Effort",37
"Gab2004Han493","Gabaix_Ioannides_2004_Handbook_Urban_Regional_Economics",29
"Aue1913Pet123","Auerbach_1913_Petermanns_Geographische_Mitteilungen",23
"Eat1997Reg405","Eaton_Eckstein_1997_Regional_Science_Urban_Economics",23
"Ioa2003Reg632","Ioannides_Overman_2003_Regional_Science_Urban_Economics",19
"Dob2000Eco383","Dobkins_Ioannides_2000_Economics_Cities",17
"Kru1996Sel696","Krugman_1996_Self_Organizing_Economy",17
"Gib1931Ine517","Gibrat_1931_Inegalites_economiques",16
"Fuj1999Spa483","Fujita_Krugman_Venables_1999_Spatial_Economy",14
"Nit2005Jou883","Nitsch_2005_Journal_Urban_Economics",14
"Sim1955bio1044","Simon_1955_biometrika",14
"Ber1961cit181","Berry_1961_city_size_distribution",12
"Cor2008Jou321","Cordoba_2008_Journal_Urban_Economics",12
"Sin1936cou1052","Singer_1936_courbe_populations",11
"Ros2007Rev1009","RossiHansberg_Wright_2007_Review_Economic_Studies",10
"Alp1984Jou90","Alperovich_1984_Journal_Urban_Economics",9
"Dav2002Ame355","Davis_Weinstein_2002_American_Economic_Review",9
"Gla1995Jou530","Glaeser_Scheinkman_Shleifer_1995_Journal_Monetary_Economics",9
"Ade1995Qua77","Ades_Glaeser_1995_Quarterly_Journal_Economics",8
"Bec1958Eco161","Beckmann_1958_Economic_Development_Cultural_Change",8
"Dur2007Ame394","Duranton_2007_American_Economic_Review",8
"Gab1999Ame491","Gabaix_1999_American_Economic_Review",8
"Hen1974Ame583","Henderson_1974_American_Economic_Review",8
"Kru1991Geo694","Krugman_1991_Geography_Trade",8
"Los1940Eco753","Losch_1940_Economics_location",8
"Lot1925Ele754","Lotka_1925_Elements_Physical_Biology",8
"Par1897Cou904","Pareto_1897_Cours_Economie_Politique",8
"All1954Cou84","Allen_1954_Courbe_Populations",7
"Car1982Pro267","Carroll_1982_Progress_Human_Geography",7
"Dob2001Reg384","Dobkins_Ioannides_2001_Regional_Science_Urban_Economics",7
"Eec2009Ame412","Eeckhout_2009_American_Economic_Review",7
"Hil1975Ann596","Hill_1975_Annals_Statistics",7
"Ove2001Jou900","Overman_Ioannides_2001_Journal_Urban_Economics",7
"Par1973Urb911","Parr_Suzuki_1973_Urban_Studies",7
"Che1999Han291","Cheshire_1999_Handbook_Regional_Urban_Economics",6
"Chr1933Cen296","Christaller_1933_Central_Places",6
"Dur2002CEP392","Duranton_2002_CEPR",6
"Mil1989Urb823","Mills_Hamilton_1989_Urban_Economics",6
"Mor1993Urb840","MoriconiEbrard_1993_Urbanisation_Monde",6
"Par1976Reg908","Parr_1976_Regional_Studies",6
"Qua1993Eur959","Quah_1993_European_Economic_Review",6
