"";"meanAlpha";"sdAlpha";"nAlpha"
"Alp89Jou";0,888681818181818;0,117974729482787;22
"Ama14Int";0,894333333333333;0,0809164177819722;6
"And05Reg";0,7319375;0,115894474271497;16
"Ara14Eco";1,13783847275;0,223059314172183;36
"Bat01Urb";0,7111;0,0978870664479112;10
"Ber12Cit";0,996333333333333;0,0116761865920913;3
"Bla03Jou";1,03795;0,133277105468664;20
"Bos08Reg";0,870666666666667;0,0426653645634646;3
"Bra99Jou";0,766666666666667;0,243378991150291;3
"Bre00Cyb";0,8425;0,0991031208965115;8
"Bre15Int";1,214;0,0227244361866252;6
"Cam90Jou";0,994;0;1
"Cie16Mis";1,092;0,0783453891432036;6
"Cra05Con";1,04600924271429;0,162292230275721;14
"Del04Con";0,9213;0,106430654468186;20
"Del13Eur";1,0970144173;0,044113721301137;10
"Dim09Urb";0,832;0,0180277563773199;3
"Eec04The";1,07033333333333;0,423153242533561;6
"Ett87Env";0,6655;0,0422835665477736;6
"Ezz15Rev";1,14188304294444;0,123371075970574;36
"Faz15Jou";1,11202511790909;0,445001268801381;11
"Gab11Jou";0,952380952;0;1
"Gab99Qua";0,995;0;1
"Gan06Eco";1,08825;0,107555799471716;4
"Gan13Eco";1,03645419175;0,0763179433627909;8
"Gie10Jou";0,865375;0,117749052164823;8
"Gon10Jou";1,25277272727273;0,318993361039049;110
"Gue95Urb";0,93375;0,126519031048263;24
"Gul12Age";0,89625;0,148513467402791;4
"Hol10Nat";0,790377140375;0,336958066419541;32
"Ign15Dis";0,694727272727273;0,130370311734759;11
"Iye13Eur";0,98;0,12892266143537;20
"Kam90Jou";0,909363636363636;0,184280207307228;22
"Knu01Ame";0,947;0;1
"Kra98Urb";1,28;0,109361784915939;6
"Kru96Jou";0,996;0;1
"Kum14Jou";0,781527777777778;0,196056476719062;36
"LeG08Emp";1,73036926209091;0,145642646958406;22
"Li_16Wor";0,83878312525;0,0317793995974938;4
"Luc14Eco";1,9085;0,980458271971288;14
"Mal80Env";1,16286363636364;0,130401275302134;44
"Man16Reg";1,010724134875;0,21117843544451;8
"Mir86Urb";0,951;0,104516201440908;12
"Mod15Qua";1,05051276595745;0,292356692963312;47
"Mor13Tex";1,1528084283;0,22549516857639;20
"Mor13Tow";1,065;0,00707106781186548;2
"Nau03Jou";0,75;0;1
"Nis08Jou";1,18229704923077;0,205409772918301;26
"Oka79Reg";1,109;0;1
"Par83Jou";0,850833333333333;0,0881656872360053;24
"Par85Jou";0,893819672131148;0,146568926697387;61
"Pen10Phy";0,845854913444444;0,228119115950568;36
"Pop74Sov";1,44555555555556;0,222604532248959;9
"Pum15Cyb";1,01;0,154488403016753;7
"Ros80Jou";0,904571428571429;0,138100339956511;56
"Roz11Ame";1,053;0,0311126983722081;2
"Sch12Reg";0,772333333333333;0,101321986397505;24
"She12Com";0,9265364328125;0,0756298391701565;16
"Son02Urb";0,762888888888889;0,0492428787857809;9
"Soo05Reg";0,991304365641414;0,255947273991076;198
"Soo07Urb";1,1518083041;0,118297925603037;10
"Sua80Jou";1,129;0;1
"Ven13Oec";0,972944628304348;0,144232464810296;46
"XuZ09Urb";0,8748;0,140498560329085;45
"Ziq16Asi";1,16892309563846;0,386354260128203;130
