"","i","j","cosSimCt"
"659","Cam90Jou","Gab11Jou",1
"660","Cam90Jou","Gab99Qua",1
"671","Cam90Jou","Knu01Ame",1
"673","Cam90Jou","Kru96Jou",1
"684","Cam90Jou","Nau03Jou",1
"686","Cam90Jou","Oka79Reg",1
"699","Cam90Jou","Sua80Jou",1
"1135","Gab11Jou","Gab99Qua",1
"1146","Gab11Jou","Knu01Ame",1
"1148","Gab11Jou","Kru96Jou",1
"1159","Gab11Jou","Nau03Jou",1
"1161","Gab11Jou","Oka79Reg",1
"1174","Gab11Jou","Sua80Jou",1
"1188","Gab99Qua","Knu01Ame",1
"1190","Gab99Qua","Kru96Jou",1
"1201","Gab99Qua","Nau03Jou",1
"1203","Gab99Qua","Oka79Reg",1
"1216","Gab99Qua","Sua80Jou",1
"1586","Knu01Ame","Kru96Jou",1
"1597","Knu01Ame","Nau03Jou",1
"1599","Knu01Ame","Oka79Reg",1
"1612","Knu01Ame","Sua80Jou",1
"1656","Kru96Jou","Nau03Jou",1
"1658","Kru96Jou","Oka79Reg",1
"1671","Kru96Jou","Sua80Jou",1
"1911","Nau03Jou","Oka79Reg",1
"1924","Nau03Jou","Sua80Jou",1
"1957","Oka79Reg","Sua80Jou",1
"601","Bre15Int","Dim09Urb",0.999989896419448
"683","Cam90Jou","Mor13Tow",0.999988979441147
"1158","Gab11Jou","Mor13Tow",0.999988979441147
"1906","Mor13Tow","Sua80Jou",0.999988979441147
"1596","Knu01Ame","Mor13Tow",0.999988979441147
"1655","Kru96Jou","Mor13Tow",0.999988979441147
"1891","Mor13Tow","Nau03Jou",0.999988979441147
"1893","Mor13Tow","Oka79Reg",0.999988979441147
"1200","Gab99Qua","Mor13Tow",0.999988979441147
"1406","Gue95Urb","Sch12Reg",0.999985920155244
"943","Dim09Urb","Roz11Ame",0.999985470669716
"350","Ber12Cit","Mor13Tow",0.999984026076694
"640","Bre15Int","Roz11Ame",0.999976690372061
"1722","LeG08Emp","She12Com",0.999973510794393
"252","Bat01Urb","Bla03Jou",0.999971968122811
"1230","Gan06Eco","Kra98Urb",0.999964367524237
"321","Ber12Cit","Dim09Urb",0.999952047167762
"366","Ber12Cit","Sua80Jou",0.999948501989505
"316","Ber12Cit","Cam90Jou",0.999948501989505
"327","Ber12Cit","Gab99Qua",0.999948501989505
"340","Ber12Cit","Kru96Jou",0.999948501989505
"351","Ber12Cit","Nau03Jou",0.999948501989505
"353","Ber12Cit","Oka79Reg",0.999948501989505
"326","Ber12Cit","Gab11Jou",0.999948501989505
"338","Ber12Cit","Knu01Ame",0.999948501989505
"1528","Iye13Eur","Mal80Env",0.999943580472194
"315","Ber12Cit","Bre15Int",0.999937560228544
"360","Ber12Cit","Roz11Ame",0.999937417324156
"458","Bos08Reg","Li_16Wor",0.99993610973274
"435","Bos08Reg","Del13Eur",0.999932259779401
"708","Cie16Mis","Ett87Env",0.999931008567901
"1845","Mir86Urb","Soo07Urb",0.999927998346631
"822","Del04Con","Iye13Eur",0.999917324395626
"405","Bla03Jou","Mir86Urb",0.99991429094799
"878","Del13Eur","Li_16Wor",0.999912960459886
"831","Del04Con","Mal80Env",0.99991190438887
"423","Bla03Jou","Soo07Urb",0.99990688099878
"1971","Par83Jou","Soo07Urb",0.999902269417811
"1005","Ett87Env","Gan13Eco",0.999900649958942
"933","Dim09Urb","Mor13Tow",0.999898289860311
"372","Bla03Jou","Bre00Cyb",0.999886195460452
"623","Bre15Int","Li_16Wor",0.999874803268898
"288","Bat01Urb","Mir86Urb",0.999874332689735
"630","Bre15Int","Mor13Tow",0.999868915461154
"1900","Mor13Tow","Roz11Ame",0.999868866327363
"580","Bre00Cyb","Par83Jou",0.999867037405884
"1746","Li_16Wor","Roz11Ame",0.999861566801373
"100","Ama14Int","LeG08Emp",0.999860737533115
"573","Bre00Cyb","Mir86Urb",0.999858978644064
"926","Dim09Urb","Li_16Wor",0.99984354875727
"255","Bat01Urb","Bre00Cyb",0.999835211388493
"412","Bla03Jou","Par83Jou",0.999834242135432
"306","Bat01Urb","Soo07Urb",0.999833846390559
"909","Dim09Urb","Gab11Jou",0.999823983532883
"910","Dim09Urb","Gab99Qua",0.999823983532883
"921","Dim09Urb","Knu01Ame",0.999823983532883
"934","Dim09Urb","Nau03Jou",0.999823983532883
"936","Dim09Urb","Oka79Reg",0.999823983532883
"654","Cam90Jou","Dim09Urb",0.999823983532883
"923","Dim09Urb","Kru96Jou",0.999823983532883
"949","Dim09Urb","Sua80Jou",0.999823983532883
"714","Cie16Mis","Gan13Eco",0.999819899408594
"804","Cra05Con","XuZ09Urb",0.999813346770022
"591","Bre00Cyb","Soo07Urb",0.999806988926372
"120","Ama14Int","She12Com",0.999797777332826
"618","Bre15Int","Knu01Ame",0.99978864021322
"646","Bre15Int","Sua80Jou",0.99978864021322
"606","Bre15Int","Gab11Jou",0.99978864021322
"607","Bre15Int","Gab99Qua",0.99978864021322
"620","Bre15Int","Kru96Jou",0.99978864021322
"631","Bre15Int","Nau03Jou",0.99978864021322
"596","Bre15Int","Cam90Jou",0.99978864021322
"633","Bre15Int","Oka79Reg",0.99978864021322
"1168","Gab11Jou","Roz11Ame",0.999781819228325
"1606","Knu01Ame","Roz11Ame",0.999781819228325
"1951","Oka79Reg","Roz11Ame",0.999781819228325
"2041","Roz11Ame","Sua80Jou",0.999781819228325
"693","Cam90Jou","Roz11Ame",0.999781819228325
"1210","Gab99Qua","Roz11Ame",0.999781819228325
"1918","Nau03Jou","Roz11Ame",0.999781819228325
"1665","Kru96Jou","Roz11Ame",0.999781819228325
"56","Alp89Jou","Sch12Reg",0.999777717402531
"52","Alp89Jou","Pop74Sov",0.999776247825226
"1834","Mir86Urb","Par83Jou",0.999766761203587
"1220","Gan06Eco","Gan13Eco",0.999761778777957
"1086","Ezz15Rev","Soo07Urb",0.99976111791301
"475","Bos08Reg","Roz11Ame",0.999747663967761
"295","Bat01Urb","Par83Jou",0.999746102376999
"1499","Ign15Dis","Mor13Tex",0.999742855330017
"1270","Gan13Eco","Kra98Urb",0.999729363397592
"430","Bos08Reg","Bre15Int",0.9997263548111
"705","Cie16Mis","Del13Eur",0.999723503852779
