"","i","j","cosSimCt"
"99","Ama14Int","Kum14Jou",1
"369","Ber12Cit","Ziq16Asi",1
"856","Del13Eur","Dim09Urb",1
"859","Del13Eur","Ezz15Rev",1
"863","Del13Eur","Gan06Eco",1
"887","Del13Eur","Nis08Jou",1
"896","Del13Eur","Sch12Reg",1
"899","Del13Eur","Soo05Reg",1
"907","Dim09Urb","Ezz15Rev",1
"911","Dim09Urb","Gan06Eco",1
"935","Dim09Urb","Nis08Jou",1
"944","Dim09Urb","Sch12Reg",1
"947","Dim09Urb","Soo05Reg",1
"1049","Ezz15Rev","Gan06Eco",1
"1073","Ezz15Rev","Nis08Jou",1
"1082","Ezz15Rev","Sch12Reg",1
"1085","Ezz15Rev","Soo05Reg",1
"1243","Gan06Eco","Nis08Jou",1
"1252","Gan06Eco","Sch12Reg",1
"1255","Gan06Eco","Soo05Reg",1
"1936","Nis08Jou","Sch12Reg",1
"1939","Nis08Jou","Soo05Reg",1
"2047","Sch12Reg","Soo05Reg",1
"670","Cam90Jou","Kam90Jou",1
"731","Cie16Mis","Man16Reg",1
"758","Cra05Con","Eec04The",1
"770","Cra05Con","Hol10Nat",1
"774","Cra05Con","Knu01Ame",1
"787","Cra05Con","Nau03Jou",1
"803","Cra05Con","Ven13Oec",1
"964","Eec04The","Hol10Nat",1
"968","Eec04The","Knu01Ame",1
"981","Eec04The","Nau03Jou",1
"997","Eec04The","Ven13Oec",1
"1135","Gab11Jou","Gab99Qua",1
"1138","Gab11Jou","Gie10Jou",1
"1148","Gab11Jou","Kru96Jou",1
"1171","Gab11Jou","Son02Urb",1
"1180","Gab99Qua","Gie10Jou",1
"1190","Gab99Qua","Kru96Jou",1
"1213","Gab99Qua","Son02Urb",1
"1310","Gie10Jou","Kru96Jou",1
"1333","Gie10Jou","Son02Urb",1
"1350","Gon10Jou","LeG08Emp",1
"1454","Hol10Nat","Knu01Ame",1
"1467","Hol10Nat","Nau03Jou",1
"1483","Hol10Nat","Ven13Oec",1
"1597","Knu01Ame","Nau03Jou",1
"1613","Knu01Ame","Ven13Oec",1
"1668","Kru96Jou","Son02Urb",1
"1925","Nau03Jou","Ven13Oec",1
"1957","Oka79Reg","Sua80Jou",1
"252","Bat01Urb","Bla03Jou",1
"1108","Faz15Jou","Li_16Wor",1
"1115","Faz15Jou","Mor13Tow",1
"1123","Faz15Jou","Pum15Cyb",1
"1437","Gul12Age","Pen10Phy",1
"1441","Gul12Age","Roz11Ame",1
"1449","Gul12Age","XuZ09Urb",1
"1736","Li_16Wor","Mor13Tow",1
"1744","Li_16Wor","Pum15Cyb",1
"1898","Mor13Tow","Pum15Cyb",1
"1993","Pen10Phy","Roz11Ame",1
"2001","Pen10Phy","XuZ09Urb",1
"2043","Roz11Ame","XuZ09Urb",1
"272","Bat01Urb","Gon10Jou",0.953462589245592
"283","Bat01Urb","LeG08Emp",0.953462589245592
"389","Bla03Jou","Gon10Jou",0.953462589245592
"400","Bla03Jou","LeG08Emp",0.953462589245592
"66","Ama14Int","Ara14Eco",0.925820099772551
"102","Ama14Int","Luc14Eco",0.925820099772551
"222","Ara14Eco","Kum14Jou",0.925820099772551
"624","Bre15Int","Luc14Eco",0.925820099772551
"1677","Kum14Jou","Luc14Eco",0.925820099772551
"123","Ama14Int","Soo07Urb",0.912870929175277
"159","And05Reg","Kra98Urb",0.912870929175277
"629","Bre15Int","Mor13Tex",0.912870929175277
"1698","Kum14Jou","Soo07Urb",0.912870929175277
"1280","Gan13Eco","Mor13Tex",0.894427190999916
"1961","Par83Jou","Par85Jou",0.889499179993322
"329","Ber12Cit","Gan13Eco",0.866025403784439
"864","Del13Eur","Gan13Eco",0.866025403784439
"912","Dim09Urb","Gan13Eco",0.866025403784439
"1050","Ezz15Rev","Gan13Eco",0.866025403784439
"1220","Gan06Eco","Gan13Eco",0.866025403784439
"1283","Gan13Eco","Nis08Jou",0.866025403784439
"1292","Gan13Eco","Sch12Reg",0.866025403784439
"1295","Gan13Eco","Soo05Reg",0.866025403784439
"1300","Gan13Eco","Ziq16Asi",0.866025403784439
"225","Ara14Eco","Luc14Eco",0.857142857142857
"246","Ara14Eco","Soo07Urb",0.845154254728516
"1760","Luc14Eco","Mor13Tex",0.845154254728516
"1776","Luc14Eco","Soo07Urb",0.845154254728516
"73","Ama14Int","Bre15Int",0.833333333333333
"97","Ama14Int","Kra98Urb",0.833333333333333
"621","Bre15Int","Kum14Jou",0.833333333333333
"1617","Kra98Urb","Kum14Jou",0.833333333333333
"1343","Gon10Jou","Ign15Dis",0.818181818181818
"1492","Ign15Dis","LeG08Emp",0.818181818181818
"609","Bre15Int","Gan13Eco",0.816496580927726
"1621","Kra98Urb","Mal80Env",0.816496580927726
"31","Alp89Jou","Iye13Eur",0.816496580927726
"325","Ber12Cit","Faz15Jou",0.816496580927726
"333","Ber12Cit","Gul12Age",0.816496580927726
"343","Ber12Cit","Li_16Wor",0.816496580927726
"350","Ber12Cit","Mor13Tow",0.816496580927726
"356","Ber12Cit","Pen10Phy",0.816496580927726
"358","Ber12Cit","Pum15Cyb",0.816496580927726
"360","Ber12Cit","Roz11Ame",0.816496580927726
"368","Ber12Cit","XuZ09Urb",0.816496580927726
"868","Del13Eur","Gul12Age",0.816496580927726
"891","Del13Eur","Pen10Phy",0.816496580927726
"895","Del13Eur","Roz11Ame",0.816496580927726
"903","Del13Eur","XuZ09Urb",0.816496580927726
"916","Dim09Urb","Gul12Age",0.816496580927726
"939","Dim09Urb","Pen10Phy",0.816496580927726
"943","Dim09Urb","Roz11Ame",0.816496580927726
"951","Dim09Urb","XuZ09Urb",0.816496580927726
"1054","Ezz15Rev","Gul12Age",0.816496580927726
"1077","Ezz15Rev","Pen10Phy",0.816496580927726
"1081","Ezz15Rev","Roz11Ame",0.816496580927726
"1089","Ezz15Rev","XuZ09Urb",0.816496580927726
"1134","Faz15Jou","Ziq16Asi",0.816496580927726
"1224","Gan06Eco","Gul12Age",0.816496580927726
"1247","Gan06Eco","Pen10Phy",0.816496580927726
"1251","Gan06Eco","Roz11Ame",0.816496580927726
"1259","Gan06Eco","XuZ09Urb",0.816496580927726
"1433","Gul12Age","Nis08Jou",0.816496580927726
"1442","Gul12Age","Sch12Reg",0.816496580927726
"1445","Gul12Age","Soo05Reg",0.816496580927726
"1450","Gul12Age","Ziq16Asi",0.816496580927726
"1755","Li_16Wor","Ziq16Asi",0.816496580927726
"1909","Mor13Tow","Ziq16Asi",0.816496580927726
"1931","Nis08Jou","Pen10Phy",0.816496580927726
"1935","Nis08Jou","Roz11Ame",0.816496580927726
"1943","Nis08Jou","XuZ09Urb",0.816496580927726
"1994","Pen10Phy","Sch12Reg",0.816496580927726
"1997","Pen10Phy","Soo05Reg",0.816496580927726
"2002","Pen10Phy","Ziq16Asi",0.816496580927726
"2025","Pum15Cyb","Ziq16Asi",0.816496580927726
"2036","Roz11Ame","Sch12Reg",0.816496580927726
"2039","Roz11Ame","Soo05Reg",0.816496580927726
"2044","Roz11Ame","Ziq16Asi",0.816496580927726
"2051","Sch12Reg","XuZ09Urb",0.816496580927726
"2069","Soo05Reg","XuZ09Urb",0.816496580927726
"2080","XuZ09Urb","Ziq16Asi",0.816496580927726
"260","Bat01Urb","Del04Con",0.8
"377","Bla03Jou","Del04Con",0.8
"1837","Mir86Urb","Pop74Sov",0.8
"1886","Mor13Tex","Soo07Urb",0.8
"212","Ara14Eco","Gon10Jou",0.797724035217466
"216","Ara14Eco","Ign15Dis",0.797724035217466
"223","Ara14Eco","LeG08Emp",0.797724035217466
"1494","Ign15Dis","Luc14Eco",0.797724035217466
"156","And05Reg","Iye13Eur",0.774596669241483
"280","Bat01Urb","Kra98Urb",0.774596669241483
"349","Ber12Cit","Mor13Tex",0.774596669241483
"397","Bla03Jou","Kra98Urb",0.774596669241483
"825","Del04Con","Kra98Urb",0.774596669241483
"884","Del13Eur","Mor13Tex",0.774596669241483
"900","Del13Eur","Soo07Urb",0.774596669241483
"932","Dim09Urb","Mor13Tex",0.774596669241483
"948","Dim09Urb","Soo07Urb",0.774596669241483
"1070","Ezz15Rev","Mor13Tex",0.774596669241483
"1086","Ezz15Rev","Soo07Urb",0.774596669241483
"1240","Gan06Eco","Mor13Tex",0.774596669241483
"1256","Gan06Eco","Soo07Urb",0.774596669241483
"1532","Iye13Eur","Mor13Tex",0.774596669241483
"1548","Iye13Eur","Soo07Urb",0.774596669241483
"1873","Mor13Tex","Nis08Jou",0.774596669241483
"1882","Mor13Tex","Sch12Reg",0.774596669241483
"1885","Mor13Tex","Soo05Reg",0.774596669241483
"1890","Mor13Tex","Ziq16Asi",0.774596669241483
"1940","Nis08Jou","Soo07Urb",0.774596669241483
