"","i","j","cosSim"
"620","Cam90Jou","And05Reg",0.996892423655439
"878","Bra99Jou","Del04Con",0.994373214262242
"373","Par83Jou","Li_16Wor",0.993059571291779
"1289","Eec04The","Soo07Urb",0.992695564884967
"1168","Bla03Jou","XuZ09Urb",0.992558733781777
"1848","Arr12Reg","Sch12Reg",0.992365869349968
"1098","Knu01Ame","Ara14Eco",0.99142784235616
"1443","Gan06Eco","Soo07Urb",0.99104963287285
"2115","Ezz15Rev","Li_16Wor",0.990938150022334
"1660","XuZ09Urb","She12Com",0.990535489736029
"496","Ett87Env","Gue95Urb",0.990498539837864
"1222","Nau03Jou","She12Com",0.990446859984204
"367","Par83Jou","Ezz15Rev",0.990359258780694
"1686","Gie10Jou","Arr12Reg",0.990244162318585
"70","Oka79Reg","Par85Jou",0.989962511005279
"1174","Bla03Jou","Roz11Ame",0.989859276223837
"1655","XuZ09Urb","Roz11Ame",0.989614717445865
"1217","Nau03Jou","Roz11Ame",0.989584582919377
"1552","LeG08Emp","Dim09Urb",0.989494438085928
"636","Cam90Jou","Arr12Reg",0.988587597772821
"1587","Nis08Jou","Gie10Jou",0.988297324559569
"1341","And05Reg","Arr12Reg",0.987719093697415
"1420","Soo05Reg","Gul12Age",0.987670294601107
"1211","Nau03Jou","XuZ09Urb",0.987624684356106
"1593","Nis08Jou","Arr12Reg",0.986788528770052
"1051","Bat01Urb","Ama14Int",0.986777563301865
"1300","Eec04The","Roz11Ame",0.9863824410564
"640","Cam90Jou","She12Com",0.986327014012183
"629","Cam90Jou","XuZ09Urb",0.985898036108711
"1521","Bos08Reg","Gon10Jou",0.985726948492802
"1285","Eec04The","And05Reg",0.985595116366396
"619","Cam90Jou","Eec04The",0.985520257987464
"1345","And05Reg","She12Com",0.985196026014424
"570","Alp89Jou","Bos08Reg",0.983783783783784
"886","Bra99Jou","LeG08Emp",0.98366792760192
"1329","And05Reg","Soo07Urb",0.983236922173317
"1596","Nis08Jou","Sch12Reg",0.983057492743441
"1335","And05Reg","Gie10Jou",0.982206631764499
"1156","Bla03Jou","Nau03Jou",0.982174812042962
"1265","Del04Con","Del13Eur",0.982157609419157
"1825","Roz11Ame","She12Com",0.981856525487122
"1305","Eec04The","She12Com",0.980702751052372
"1294","Eec04The","XuZ09Urb",0.980319563647013
"56","Pop74Sov","Bre15Int",0.979534722672509
"188","Mal80Env","Pum15Cyb",0.979296383495737
