"","i","j","cosSim"
"1","Pop74Sov","Oka79Reg",1
"2","Pop74Sov","Mal80Env",1
"3","Pop74Sov","Ros80Jou",1
"4","Pop74Sov","Sua80Jou",1
"5","Pop74Sov","Par83Jou",1
"6","Pop74Sov","Par85Jou",1
"7","Pop74Sov","Mir86Urb",1
"8","Pop74Sov","Ett87Env",1
"9","Pop74Sov","Alp89Jou",1
"10","Pop74Sov","Cam90Jou",1
"11","Pop74Sov","Kam90Jou",1
"12","Pop74Sov","Gue95Urb",1
"13","Pop74Sov","Kru96Jou",1
"14","Pop74Sov","Kra98Urb",1
"15","Pop74Sov","Bra99Jou",1
"16","Pop74Sov","Gab99Qua",1
"17","Pop74Sov","Bre00Cyb",1
"18","Pop74Sov","Bat01Urb",1
"19","Pop74Sov","Knu01Ame",1
"20","Pop74Sov","Son02Urb",1
"21","Pop74Sov","Bla03Jou",1
"22","Pop74Sov","Nau03Jou",1
"23","Pop74Sov","Del04Con",1
"24","Pop74Sov","Eec04The",1
"25","Pop74Sov","And05Reg",1
"26","Pop74Sov","Cra05Con",1
"27","Pop74Sov","Soo05Reg",1
"28","Pop74Sov","Gan06Eco",1
"29","Pop74Sov","Soo07Urb",1
"30","Pop74Sov","Bos08Reg",1
"31","Pop74Sov","LeG08Emp",1
"32","Pop74Sov","Nis08Jou",1
"33","Pop74Sov","Dim09Urb",1
"34","Pop74Sov","XuZ09Urb",1
"35","Pop74Sov","Gie10Jou",1
"36","Pop74Sov","Gon10Jou",1
"37","Pop74Sov","Hol10Nat",1
"38","Pop74Sov","Pen10Phy",1
"39","Pop74Sov","Gab11Jou",1
"40","Pop74Sov","Roz11Ame",1
"41","Pop74Sov","Arr12Reg",1
"42","Pop74Sov","Ber12Cit",1
"43","Pop74Sov","Gul12Age",1
"44","Pop74Sov","Sch12Reg",1
"45","Pop74Sov","She12Com",1
"46","Pop74Sov","Del13Eur",1
"47","Pop74Sov","Gan13Eco",1
"48","Pop74Sov","Iye13Eur",1
"49","Pop74Sov","Mor13Tex",1
"50","Pop74Sov","Mor13Tow",1
"51","Pop74Sov","Ven13Oec",1
"52","Pop74Sov","Ama14Int",1
"53","Pop74Sov","Ara14Eco",1
"54","Pop74Sov","Kum14Jou",1
"55","Pop74Sov","Luc14Eco",1
"56","Pop74Sov","Bre15Int",1
"57","Pop74Sov","Ezz15Rev",1
"58","Pop74Sov","Faz15Jou",1
"59","Pop74Sov","Ign15Dis",1
"60","Pop74Sov","Mod15Qua",1
"61","Pop74Sov","Pum15Cyb",1
"62","Pop74Sov","Cie16Mis",1
"63","Pop74Sov","Li_16Wor",1
"64","Pop74Sov","Man16Reg",1
"65","Pop74Sov","Ziq16Asi",1
"66","Oka79Reg","Mal80Env",1
"67","Oka79Reg","Ros80Jou",1
"68","Oka79Reg","Sua80Jou",1
"69","Oka79Reg","Par83Jou",1
"70","Oka79Reg","Par85Jou",1
"71","Oka79Reg","Mir86Urb",1
"72","Oka79Reg","Ett87Env",1
"73","Oka79Reg","Alp89Jou",1
"74","Oka79Reg","Cam90Jou",1
"75","Oka79Reg","Kam90Jou",1
"76","Oka79Reg","Gue95Urb",1
"77","Oka79Reg","Kru96Jou",1
"78","Oka79Reg","Kra98Urb",1
"79","Oka79Reg","Bra99Jou",1
"80","Oka79Reg","Gab99Qua",1
"81","Oka79Reg","Bre00Cyb",1
"82","Oka79Reg","Bat01Urb",1
"83","Oka79Reg","Knu01Ame",1
"84","Oka79Reg","Son02Urb",1
"85","Oka79Reg","Bla03Jou",1
"86","Oka79Reg","Nau03Jou",1
"87","Oka79Reg","Del04Con",1
"88","Oka79Reg","Eec04The",1
"89","Oka79Reg","And05Reg",1
"90","Oka79Reg","Cra05Con",1
"91","Oka79Reg","Soo05Reg",1
"92","Oka79Reg","Gan06Eco",1
"93","Oka79Reg","Soo07Urb",1
"94","Oka79Reg","Bos08Reg",1
"95","Oka79Reg","LeG08Emp",1
"96","Oka79Reg","Nis08Jou",1
"97","Oka79Reg","Dim09Urb",1
"98","Oka79Reg","XuZ09Urb",1
"99","Oka79Reg","Gie10Jou",1
"100","Oka79Reg","Gon10Jou",1
"101","Oka79Reg","Hol10Nat",1
"102","Oka79Reg","Pen10Phy",1
"103","Oka79Reg","Gab11Jou",1
"104","Oka79Reg","Roz11Ame",1
"105","Oka79Reg","Arr12Reg",1
"106","Oka79Reg","Ber12Cit",1
"107","Oka79Reg","Gul12Age",1
"108","Oka79Reg","Sch12Reg",1
