"","i","j","diff_mean"
"340","Ber12Cit","Kru96Jou",0.000324077627745637
"113","Ama14Int","Par85Jou",0.000499398311608061
"1816","Man16Reg","Pum15Cyb",0.000704027737373733
"660","Cam90Jou","Gab99Qua",0.00097223288323702
"1190","Gab99Qua","Kru96Jou",0.00097223288323702
"1886","Mor13Tex","Soo07Urb",0.000972353634561071
"327","Ber12Cit","Gab99Qua",0.00129631051098266
"1155","Gab11Jou","Mir86Urb",0.00134260694457181
"387","Bla03Jou","Gan13Eco",0.00145427396766707
"91","Ama14Int","Gul12Age",0.00186344635953763
"673","Cam90Jou","Kru96Jou",0.00194446576647404
"316","Ber12Cit","Cam90Jou",0.00226854339421968
"1436","Gul12Age","Par85Jou",0.00236284467114569
"1861","Mod15Qua","Roz11Ame",0.00241817072447681
"697","Cam90Jou","Soo05Reg",0.00262078436460073
"1118","Faz15Jou","Oka79Reg",0.00294111910688748
"582","Bre00Cyb","Pen10Phy",0.0032617571711028
"1214","Gab99Qua","Soo05Reg",0.00359301724783775
"569","Bre00Cyb","Li_16Wor",0.00361366785482342
"713","Cie16Mis","Gan06Eco",0.00364587331213896
"534","Bra99Jou","Son02Urb",0.00367287978111773
"1593","Knu01Ame","Mir86Urb",0.00388893153294819
"205","Ara14Eco","Ezz15Rev",0.00393226414159927
"483","Bos08Reg","XuZ09Urb",0.00401856258404634
"784","Cra05Con","Mod15Qua",0.0043784733874233
"1669","Kru96Jou","Soo05Reg",0.00456525013107477
"1574","Kam90Jou","Ros80Jou",0.00465914199888909
"1962","Par83Jou","Pen10Phy",0.00484018352253899
"705","Cie16Mis","Del13Eur",0.00487518138933255
"364","Ber12Cit","Soo05Reg",0.00488932775882041
"50","Alp89Jou","Par85Jou",0.00499519055880725
"848","Del04Con","She12Com",0.00509103217117378
"445","Bos08Reg","Gie10Jou",0.00514473234046259
"980","Eec04The","Mor13Tow",0.00518524204393085
"1146","Gab11Jou","Knu01Ame",0.00523153847752
"1","Alp89Jou","Ama14Int",0.00549458887041531
"532","Bra99Jou","Sch12Reg",0.00550931967167638
"1804","Mal80Env","Ziq16Asi",0.0058912055616205
"926","Dim09Urb","Li_16Wor",0.00659477741916535
"796","Cra05Con","Roz11Ame",0.0067966441119001
"1550","Iye13Eur","Ven13Oec",0.00685946436597278
"1742","Li_16Wor","Pen10Phy",0.00687542502592622
"1407","Gue95Urb","She12Com",0.00701326722512707
"28","Alp89Jou","Gul12Age",0.00735803522995294
"376","Bla03Jou","Cra05Con",0.00783546078081704
"1440","Gul12Age","Ros80Jou",0.00809036649265093
"580","Bre00Cyb","Par83Jou",0.0081019406936418
"863","Del13Eur","Gan06Eco",0.00852105470147151
"247","Ara14Eco","Sua80Jou",0.00859305384514427
"1457","Hol10Nat","Kum14Jou",0.00860364131270711
"1694","Kum14Jou","Sch12Reg",0.00893914123198488
"1338","Gie10Jou","XuZ09Urb",0.00916329492450892
"2046","Sch12Reg","Son02Urb",0.0091821994527941
"765","Cra05Con","Gan13Eco",0.00928973474848411
"1086","Ezz15Rev","Soo07Urb",0.0096496652701462
"1784","Mal80Env","Mor13Tex",0.00977600392725741
"117","Ama14Int","Ros80Jou",0.00995381285218856
"547","Bre00Cyb","Dim09Urb",0.0102084452739888
"1979","Par85Jou","Ros80Jou",0.0104532111637966
"1070","Ezz15Rev","Mor13Tex",0.0106220189047073
"1800","Mal80Env","Soo07Urb",0.0107483575618185
"1547","Iye13Eur","Soo05Reg",0.0109904760007176
"823","Del04Con","Kam90Jou",0.0116049252335473
"888","Del13Eur","Oka79Reg",0.0116527776256967
"1900","Mor13Tow","Roz11Ame",0.0116667945988442
"1740","Li_16Wor","Par83Jou",0.0117156085484652
"818","Del04Con","Gue95Urb",0.0121042993963009
"406","Bla03Jou","Mod15Qua",0.0122139341682403
"1087","Ezz15Rev","Sua80Jou",0.0125253179867435
"1921","Nau03Jou","Son02Urb",0.012531001606166
"1418","Gul12Age","Kam90Jou",0.01274950849154
"1383","Gue95Urb","Knu01Ame",0.0128820857028905
"1944","Nis08Jou","Ziq16Asi",0.0130025974613273
"358","Ber12Cit","Pum15Cyb",0.0132871827375726
"939","Dim09Urb","Pen10Phy",0.0134702024450916
"63","Alp89Jou","XuZ09Urb",0.0134963601154811
"246","Ara14Eco","Soo07Urb",0.0135819294117455
"669","Cam90Jou","Iye13Eur",0.0136112603653183
"1663","Kru96Jou","Pum15Cyb",0.0136112603653183
"1279","Gan13Eco","Mod15Qua",0.0136682081359074
"346","Ber12Cit","Man16Reg",0.0139912104749464
"1851","Mod15Qua","Mor13Tow",0.014084965323321
"1324","Gie10Jou","Par83Jou",0.014137886510405
"1651","Kru96Jou","Man16Reg",0.014315288102692
"512","Bra99Jou","Kum14Jou",0.0144484609036612
"230","Ara14Eco","Mor13Tex",0.0145542830463065
"1186","Gab99Qua","Iye13Eur",0.0145834932485553
"1208","Gab99Qua","Pum15Cyb",0.0145834932485553
"860","Del13Eur","Faz15Jou",0.0145938967325842
"95","Ama14Int","Kam90Jou",0.0146129548510777
"418","Bla03Jou","Roz11Ame",0.0146321048927171
"1570","Kam90Jou","Par85Jou",0.0151123531626857
"1196","Gab99Qua","Man16Reg",0.015287520985929
"54","Alp89Jou","Ros80Jou",0.0154484017226039
"691","Cam90Jou","Pum15Cyb",0.0155557261317923
"1523","Iye13Eur","Kru96Jou",0.0155557261317923
"1890","Mor13Tex","Ziq16Asi",0.0156672094888779
"336","Ber12Cit","Iye13Eur",0.015879803759538
"276","Bat01Urb","Ign15Dis",0.015918103842817
"1291","Gan13Eco","Roz11Ame",0.0160863788603842
"522","Bra99Jou","Nau03Jou",0.0162038813872837
"679","Cam90Jou","Man16Reg",0.0162597538691661
"845","Del04Con","Ros80Jou",0.0162640672324364
"1131","Faz15Jou","Sua80Jou",0.0165035385578529
"738","Cie16Mis","Oka79Reg",0.0165279590150292
"2074","Soo07Urb","Ziq16Asi",0.016639563123439
"1577","Kam90Jou","She12Com",0.0166959574047211
"1392","Gue95Urb","Mir86Urb",0.0167710172358387
"990","Eec04The","Roz11Ame",0.0168520366427751
"958","Eec04The","Gan06Eco",0.0174191724913298
"7","Alp89Jou","Bos08Reg",0.0175149226995274
"1477","Hol10Nat","Sch12Reg",0.017542782544692
"171","And05Reg","Nau03Jou",0.0175609564534686
"2068","Soo05Reg","Ven13Oec",0.0178499403666903
"1140","Gab11Jou","Gue95Urb",0.0181136241804105
"1696","Kum14Jou","Son02Urb",0.018121340684779
"2020","Pum15Cyb","Soo05Reg",0.0181765104963931
"937","Dim09Urb","Par83Jou",0.0183103859676306
"786","Cra05Con","Mor13Tow",0.0184634387107443
"1988","Par85Jou","XuZ09Urb",0.0184915506742883
"1822","Man16Reg","Soo05Reg",0.0188805382337668
"1787","Mal80Env","Nis08Jou",0.0188938030229478
"1326","Gie10Jou","Pen10Phy",0.018978070032944
"126","Ama14Int","XuZ09Urb",0.0189909489858964
"978","Eec04The","Mod15Qua",0.0192702073672519
"469","Bos08Reg","Par83Jou",0.0192826188508676
"1957","Oka79Reg","Sua80Jou",0.0194446576647404
"710","Cie16Mis","Faz15Jou",0.0194690781219167
"1608","Knu01Ame","She12Com",0.0198953529280176
"1175","Gab11Jou","Ven13Oec",0.0199926823033289
"32","Alp89Jou","Kam90Jou",0.020107543721493
"1244","Gan06Eco","Oka79Reg",0.0201738323271682
"129","And05Reg","Bat01Urb",0.0202589027044515
"1066","Ezz15Rev","Mal80Env",0.0203980228319647
"700","Cam90Jou","Ven13Oec",0.0204707247312911
"1449","Gul12Age","XuZ09Urb",0.020854395345434
"707","Cie16Mis","Eec04The",0.0210650458034688
"1847","Mir86Urb","Ven13Oec",0.0213352892479007
"2028","Ros80Jou","She12Com",0.0213550994036102
"1217","Gab99Qua","Ven13Oec",0.0214429576145281
