"","i","j","diff_sd"
"659","Cam90Jou","Gab11Jou",0
"660","Cam90Jou","Gab99Qua",0
"671","Cam90Jou","Knu01Ame",0
"673","Cam90Jou","Kru96Jou",0
"684","Cam90Jou","Nau03Jou",0
"686","Cam90Jou","Oka79Reg",0
"699","Cam90Jou","Sua80Jou",0
"1135","Gab11Jou","Gab99Qua",0
"1146","Gab11Jou","Knu01Ame",0
"1148","Gab11Jou","Kru96Jou",0
"1159","Gab11Jou","Nau03Jou",0
"1161","Gab11Jou","Oka79Reg",0
"1174","Gab11Jou","Sua80Jou",0
"1188","Gab99Qua","Knu01Ame",0
"1190","Gab99Qua","Kru96Jou",0
"1201","Gab99Qua","Nau03Jou",0
"1203","Gab99Qua","Oka79Reg",0
"1216","Gab99Qua","Sua80Jou",0
"1586","Knu01Ame","Kru96Jou",0
"1597","Knu01Ame","Nau03Jou",0
"1599","Knu01Ame","Oka79Reg",0
"1612","Knu01Ame","Sua80Jou",0
"1656","Kru96Jou","Nau03Jou",0
"1658","Kru96Jou","Oka79Reg",0
"1671","Kru96Jou","Sua80Jou",0
"1911","Nau03Jou","Oka79Reg",0
"1924","Nau03Jou","Sua80Jou",0
"1957","Oka79Reg","Sua80Jou",0
"1495","Ign15Dis","Mal80Env",9.89910420980219e-05
"25","Alp89Jou","Gie10Jou",0.000721494155137732
"60","Alp89Jou","Soo07Urb",0.00103326339495482
"438","Bos08Reg","Ett87Env",0.00122061463353817
"238","Ara14Eco","Pop74Sov",0.00145394540501041
"1335","Gie10Jou","Soo07Urb",0.00175475755009255
"1746","Li_16Wor","Roz11Ame",0.00213145495350148
"1293","Gan13Eco","She12Com",0.00219988059762056
"1715","LeG08Emp","Par85Jou",0.00296133179766372
"814","Del04Con","Gan06Eco",0.003597107370179
"255","Bat01Urb","Bre00Cyb",0.00388774638457589
"1727","LeG08Emp","Ven13Oec",0.00450837588252456
"1486","Ign15Dis","Iye13Eur",0.00462816218801593
"435","Bos08Reg","Del13Eur",0.00463042068300757
"1528","Iye13Eur","Mal80Env",0.00472715323011395
"1230","Gan06Eco","Kra98Urb",0.00577376563150975
"858","Del13Eur","Ett87Env",0.00585103531654574
"150","And05Reg","Gie10Jou",0.00592911650296024
"833","Del04Con","Mir86Urb",0.00612053830632968
"1436","Gul12Age","Par85Jou",0.00621672911586956
"714","Cie16Mis","Gan13Eco",0.00648177802547882
"2","Alp89Jou","And05Reg",0.00665061065809797
"587","Bre00Cyb","Sch12Reg",0.00709375006956135
"1987","Par85Jou","Ven13Oec",0.00746970768018829
"2034","Ros80Jou","XuZ09Urb",0.00766715058986195
"185","And05Reg","Soo07Urb",0.00768387405305279
"1381","Gue95Urb","Iye13Eur",0.00768444649669028
"230","Ara14Eco","Mor13Tex",0.00778746721761391
"75","Ama14Int","Cie16Mis",0.0082196215033947
"1877","Mor13Tex","Pen10Phy",0.00838880358442827
"747","Cie16Mis","She12Com",0.00868165862309938
"1423","Gul12Age","LeG08Emp",0.00917806091353329
"403","Bla03Jou","Mal80Env",0.00919407707890897
"1878","Mor13Tex","Pop74Sov",0.00924141262262432
"393","Bla03Jou","Ign15Dis",0.009293068121007
"825","Del04Con","Kra98Urb",0.00937087300168875
"1238","Gan06Eco","Mir86Urb",0.00971764567650868
"1053","Ezz15Rev","Gue95Urb",0.0100640649653289
"1841","Mir86Urb","Sch12Reg",0.010211958848421
"302","Bat01Urb","Sch12Reg",0.0109814964541372
"2078","Ven13Oec","XuZ09Urb",0.0119373549958156
"1380","Gue95Urb","Ign15Dis",0.0123126086847062
"1390","Gue95Urb","Mal80Env",0.0124115997268042
"1448","Gul12Age","Ven13Oec",0.0136864367960578
"394","Bla03Jou","Iye13Eur",0.0139212303090229
"87","Ama14Int","Gan13Eco",0.0147013995288735
"350","Ber12Cit","Mor13Tow",0.0147226416621172
"601","Bre15Int","Dim09Urb",0.0150153638014767
"417","Bla03Jou","Ros80Jou",0.0154199612226855
"1623","Kra98Urb","Mir86Urb",0.0154914113080184
"237","Ara14Eco","Pen10Phy",0.0161762708020422
"1086","Ezz15Rev","Soo07Urb",0.0162189464645318
"847","Del04Con","Sch12Reg",0.0163324971547507
"898","Del13Eur","Son02Urb",0.0163980021534377
"1728","LeG08Emp","XuZ09Urb",0.0164457308783401
"120","Ama14Int","She12Com",0.0169012801264941
"19","Alp89Jou","Ezz15Rev",0.0172522098594866
"573","Bre00Cyb","Mir86Urb",0.0173057089179823
"1990","Pen10Phy","Pop74Sov",0.0176302162070526
"1057","Ezz15Rev","Iye13Eur",0.0177485114620192
"1051","Ezz15Rev","Gie10Jou",0.0179737040146243
"1810","Man16Reg","Nis08Jou",0.0184425104533099
"1439","Gul12Age","Pum15Cyb",0.0191019689603454
"1988","Par85Jou","XuZ09Urb",0.0194070626760038
"2033","Ros80Jou","Ven13Oec",0.0196045055856775
"1252","Gan06Eco","Sch12Reg",0.0199296045249297
"321","Ber12Cit","Dim09Urb",0.0203060746970063
"159","And05Reg","Kra98Urb",0.0208851169886866
"478","Bos08Reg","Son02Urb",0.0210284228364452
"288","Bat01Urb","Mir86Urb",0.0211934553025582
"390","Bla03Jou","Gue95Urb",0.0216056768057132
"1039","Ett87Env","Son02Urb",0.0222490374699834
"1056","Ezz15Rev","Ign15Dis",0.0223766736500351
"1066","Ezz15Rev","Mal80Env",0.0224756646921331
"683","Cam90Jou","Mor13Tow",0.0226063219063205
"1158","Gab11Jou","Mor13Tow",0.0226063219063205
"1200","Gab99Qua","Mor13Tow",0.0226063219063205
"1596","Knu01Ame","Mor13Tow",0.0226063219063205
"1655","Kru96Jou","Mor13Tow",0.0226063219063205
"1891","Mor13Tow","Nau03Jou",0.0226063219063205
"1893","Mor13Tow","Oka79Reg",0.0226063219063205
"1906","Mor13Tow","Sua80Jou",0.0226063219063205
"426","Bla03Jou","XuZ09Urb",0.0230871118125475
"112","Ama14Int","Par83Jou",0.0231760355329268
"545","Bre00Cyb","Del04Con",0.023426247224312
"144","And05Reg","Ezz15Rev",0.0239028205175846
"1719","LeG08Emp","Ros80Jou",0.0241128814682021
"1794","Mal80Env","Ros80Jou",0.0246140383015945
"1509","Ign15Dis","Ros80Jou",0.0247130293436925
"794","Cra05Con","Pum15Cyb",0.0249489660983748
"1978","Par85Jou","Pum15Cyb",0.025318698076215
"1449","Gul12Age","XuZ09Urb",0.0256237917918734
"1637","Kra98Urb","Sch12Reg",0.0257033701564394
"1410","Gue95Urb","Soo07Urb",0.0262830114298607
"148","And05Reg","Gan06Eco",0.0266588826201963
"1309","Gie10Jou","Kra98Urb",0.0268142334916468
"640","Bre15Int","Roz11Ame",0.0268174143208896
"554","Bre00Cyb","Gan06Eco",0.027023354594491
"1979","Par85Jou","Ros80Jou",0.0270742132658658
"260","Bat01Urb","Del04Con",0.0273139936088879
"27","Alp89Jou","Gue95Urb",0.0273162748248155
"34","Alp89Jou","Kra98Urb",0.0275357276467846
"1302","Gie10Jou","Gue95Urb",0.0280377689799532
"1718","LeG08Emp","Pum15Cyb",0.0282800298738787
"1641","Kra98Urb","Soo07Urb",0.0285689910417394
"623","Bre15Int","Li_16Wor",0.0289488692743911
"1542","Iye13Eur","Ros80Jou",0.0293411915317085
"1685","Kum14Jou","Nis08Jou",0.0299026441820229
"139","And05Reg","Del04Con",0.0302559899903753
"269","Bat01Urb","Gan06Eco",0.0309111009790669
"295","Bat01Urb","Par83Jou",0.0310794117218033
"739","Cie16Mis","Par83Jou",0.0313956570363215
"382","Bla03Jou","Ezz15Rev",0.0316697417710421
"1803","Mal80Env","XuZ09Urb",0.0322811888914565
"1518","Ign15Dis","XuZ09Urb",0.0323801799335545
"1221","Gan06Eco","Gie10Jou",0.0325879991231566
"2023","Pum15Cyb","Ven13Oec",0.0327884057564033
"565","Bre00Cyb","Kra98Urb",0.0327971202260008
"1440","Gul12Age","Ros80Jou",0.0332909423817354
"23","Alp89Jou","Gan06Eco",0.0333094932782943
"1019","Ett87Env","Li_16Wor",0.0335819971967024
"152","And05Reg","Gue95Urb",0.0339668854829135
"1548","Iye13Eur","Soo07Urb",0.0339674579265509
"1256","Gan06Eco","Soo07Urb",0.0343427566732491
"458","Bos08Reg","Li_16Wor",0.0348026118302406
"580","Bre00Cyb","Par83Jou",0.0349671581063792
"31","Alp89Jou","Iye13Eur",0.0350007213215058
"425","Bla03Jou","Ven13Oec",0.035024466808363
"933","Dim09Urb","Mor13Tow",0.0350287163591235
"315","Ber12Cit","Bre15Int",0.035321438498483
"1036","Ett87Env","Roz11Ame",0.0357134521502039
"1306","Gie10Jou","Iye13Eur",0.0357222154766435
"816","Del04Con","Gie10Jou",0.0361851064933356
"167","And05Reg","Mir86Urb",0.036376528296705
"1815","Man16Reg","Pop74Sov",0.0365294223399644
"280","Bat01Urb","Kra98Urb",0.0366848666105766
"14","Alp89Jou","Del04Con",0.0369066006484733
"475","Bos08Reg","Roz11Ame",0.0369340667837421
"1551","Iye13Eur","XuZ09Urb",0.0370083421215704
"1404","Gue95Urb","Ros80Jou",0.0370256380283987
"316","Ber12Cit","Cam90Jou",0.0373289635684377
"326","Ber12Cit","Gab11Jou",0.0373289635684377
"327","Ber12Cit","Gab99Qua",0.0373289635684377
"338","Ber12Cit","Knu01Ame",0.0373289635684377
"340","Ber12Cit","Kru96Jou",0.0373289635684377
"351","Ber12Cit","Nau03Jou",0.0373289635684377
"353","Ber12Cit","Oka79Reg",0.0373289635684377
"366","Ber12Cit","Sua80Jou",0.0373289635684377
"1556","Kam90Jou","Kum14Jou",0.0376489300148923
"1285","Gan13Eco","Par83Jou",0.0378774350618003
"851","Del04Con","Soo07Urb",0.0379398640434281
"227","Ara14Eco","Man16Reg",0.0379833677449748
"1515","Ign15Dis","Soo07Urb",0.0385956201145669
"1800","Mal80Env","Soo07Urb",0.0386946111566649
"878","Del13Eur","Li_16Wor",0.0394330325132482
"400","Bla03Jou","LeG08Emp",0.0395328426908876
"30","Alp89Jou","Ign15Dis",0.0396288835095217
"40","Alp89Jou","Mal80Env",0.0397278745516197
"1968","Par83Jou","She12Com",0.0400773156594208
"535","Bra99Jou","Soo05Reg",0.0401810101766664
"1305","Gie10Jou","Ign15Dis",0.0403503776646594
"1315","Gie10Jou","Mal80Env",0.0404493687067574
"895","Del13Eur","Roz11Ame",0.0415644874667497
"156","And05Reg","Iye13Eur",0.0416513319796037
"943","Dim09Urb","Roz11Ame",0.0418327781223663
"1967","Par83Jou","Sch12Reg",0.0420609081759405
"1317","Gie10Jou","Mir86Urb",0.0423056447996653
"413","Bla03Jou","Par85Jou",0.0424941744885513
"42","Alp89Jou","Mir86Urb",0.043027138954803
"926","Dim09Urb","Li_16Wor",0.0439642330758678
"769","Cra05Con","Gul12Age",0.0440509350587202
"1845","Mir86Urb","Soo07Urb",0.0440604023497578
"1802","Mal80Env","Ven13Oec",0.044218543887272
"1517","Ign15Dis","Ven13Oec",0.04431753492937
"1413","Gue95Urb","XuZ09Urb",0.0446927886182607
"2024","Pum15Cyb","XuZ09Urb",0.0447257607522188
"1060","Ezz15Rev","Kra98Urb",0.0447879375062711
"1807","Man16Reg","Mor13Tex",0.0457708349625887
"155","And05Reg","Ign15Dis",0.0462794941676197
"165","And05Reg","Mal80Env",0.0463784852097177
"181","And05Reg","Sch12Reg",0.046588487145126
"1080","Ezz15Rev","Ros80Jou",0.0470897029937276
"423","Bla03Jou","Soo07Urb",0.0478886882355739
"1679","Kum14Jou","Man16Reg",0.0483451546353328
"391","Bla03Jou","Gul12Age",0.0487109036044209
"1705","LeG08Emp","Mal80Env",0.0487269197697966
"527","Bra99Jou","Pen10Phy",0.0487860759072833
"1492","Ign15Dis","LeG08Emp",0.0488259108118946
"6","Alp89Jou","Bla03Jou",0.0489219516305287
"1550","Iye13Eur","Ven13Oec",0.048945697117386
"388","Bla03Jou","Gie10Jou",0.0496434457856664
"630","Bre15Int","Mor13Tow",0.0500440801606002
"791","Cra05Con","Par85Jou",0.0502676641745898
"1049","Ezz15Rev","Gan06Eco",0.0505617031377809
"1790","Mal80Env","Par85Jou",0.0516882515674603
"1505","Ign15Dis","Par85Jou",0.0517872426095583
"1834","Mir86Urb","Par83Jou",0.0522728670243615
"2015","Pum15Cyb","Ros80Jou",0.0523929113420808
"1331","Gie10Jou","Sch12Reg",0.0525176036480862
"778","Cra05Con","LeG08Emp",0.0532289959722535
"56","Alp89Jou","Sch12Reg",0.053239097803224
"1525","Iye13Eur","LeG08Emp",0.0534540729999105
"134","And05Reg","Bre00Cyb",0.0536822372146874
"810","Del04Con","Ezz15Rev",0.0541588105079599
"1814","Man16Reg","Pen10Phy",0.054159638547017
"67","Ama14Int","Bat01Urb",0.05425544725473
"2048","Sch12Reg","Soo07Urb",0.0542723611981788
"1089","Ezz15Rev","XuZ09Urb",0.0547568535835896
"1384","Gue95Urb","Kra98Urb",0.0548520024716
"1932","Nis08Jou","Pop74Sov",0.0549719327932743
"131","And05Reg","Bla03Jou",0.0555725622886267
"1749","Li_16Wor","Son02Urb",0.0558310346666858
"1538","Iye13Eur","Par85Jou",0.0564154047975742
"233","Ara14Eco","Nis08Jou",0.0564258781982847
"1412","Gue95Urb","Ven13Oec",0.0566301436140762
"520","Bra99Jou","Mor13Tex",0.0571748794917116
"1342","Gon10Jou","Hol10Nat",0.0574334631754105
